"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"82,666668";"89,333334";"92,666666";"92,666667"
"2";"bupa";"57,100841";"55,680672";"57,697479";"58,840337";"60,865547"
"3";"segment";"85,844154";"87,92208";"90,389608";"91,60173";"91,90476"
"4";"waveform-5000";"67,919444";"71,778493";"71,63953";"74,538937";"74,236857"
"5";"phishingData";"90,890904";"91,714255";"92,808744";"93,088828";"93,604722"
"6";"mushroom";"99,039953";"99,4584";"99,753833";"99,803077";"99,803017"
"7";"pima";"68,106627";"69,545453";"70,70745";"72,269311";"70,712578"
"8";"vehicle";"48,316472";"57,216202";"60,270787";"60,988172";"65,47847"
"9";"wilt";"95,59806";"96,548773";"97,18961";"97,334151";"97,520018"
"10";"kr-vs-kp";"93,582072";"95,023305";"95,80416";"97,276834";"97,276735"
"11";"blood-transfusion-service";"76,072073";"73,93874";"74,872073";"76,338739";"76,610811"
"12";"cnae-9";"57,592592";"69,074073";"71,111111";"76,018518";"77,129627"
"13";"connectionist-mines-vs-rocks";"56,714285";"57,666667";"67,809524";"66,809524";"64,309525"
"14";"flare";"69,041421";"70,408307";"71,925354";"73,076977";"72,42793"
"15";"indian-liver-patient";"68,771673";"70,324012";"68,985614";"70,142524";"69,657633"
"16";"leukemia-haslinger";"48,989899";"74,161616";"63,161616";"62,737374";"76,050505"
"17";"mammographic-mass";"79,174466";"81,687488";"81,777535";"80,942031";"81,365211"
"18";"mfeat-karhunen";"52,1";"61,05";"64,65";"68,25";"71,15"
"19";"musk";"96,271876";"98,075021";"99,120981";"99,181494";"99,51485"
"20";"ozone-onehr";"97,121624";"97,121624";"97,042573";"97,121624";"97,121624"
"21";"pendigits";"82,640655";"87,026687";"89,0271";"90,657292";"91,721379"
"22";"planning-relax";"71,461986";"69,79532";"71,461986";"71,461986";"71,461986"
"23";"seeds";"33,33333";"83,333334";"80,476193";"85,238097";"88,09524"
"24";"semeion";"35,13619";"49,218545";"52,857875";"55,052765";"60,498676"
"25";"spectf-heart";"70,211017";"71,404294";"73,070493";"75,406628";"72,574229"
"26";"tic-tac-toe";"63,677959";"69,94114";"72,540898";"75,682367";"83,183871"
"27";"twonorm";"73,891352";"78,189456";"79,216243";"79,770243";"80,445848"
"28";"hill-valley-with-noise";"51,976019";"50,316962";"51,06423";"51,904948";"52,55863"
"29";"balance-scale";"64,301076";"64,953917";"68,812084";"72,137737";"74,874551"
"30";"car";"78,247137";"85,814615";"88,663505";"89,931201";"90,618793"
