"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"80";"80";"86,66667";"80";"80"
"2";"bupa";"40";"47,05882";"38,23529";"45,71429";"50"
"3";"segment";"85,28139";"88,74459";"90,04329";"90,04329";"90,47619"
"4";"waveform-5000";"62,67465";"70,6";"71,65669";"71,6";"72,8"
"5";"phishingData";"90,31674";"89,51175";"92,40506";"92,22423";"92,49548"
"6";"mushroom";"80,54187";"77,85978";"81,65025";"81,7734";"81,79582"
"7";"pima";"63,63636";"63,63636";"60,52632";"61,84211";"59,74026"
"8";"vehicle";"33,72093";"53,57143";"53,48837";"45,88235";"55,95238"
"9";"wilt";"89,89691";"90,90909";"92,54658";"91,92547";"92,96066"
"10";"kr-vs-kp";"73,35423";"77,11599";"83,69906";"83,38558";"83,4375"
"11";"blood-transfusion-service";"65,33333";"72";"68";"69,33333";"69,33333"
"12";"cnae-9";"29,62963";"41,66667";"56,48148";"55,55556";"64,81481"
"13";"connectionist-mines-vs-rocks";"38,09524";"55";"60";"52,38095";"52,38095"
"14";"flare";"46,04317";"57,24638";"60,43165";"65,94203";"68,11594"
"15";"indian-liver-patient";"57,62712";"56,14035";"52,63158";"59,32203";"60,34483"
"16";"leukemia-haslinger";"44,44444";"60";"50";"60";"70"
"17";"mammographic-mass";"71,57895";"73,95833";"71,13402";"68,75";"75"
"18";"mfeat-karhunen";"80,5";"87";"85,5";"88,5";"89,5"
"19";"musk";"91,81818";"93,0303";"94,38543";"96,36364";"95,60606"
"20";"ozone-onehr";"95,66929";"96,44269";"95,65217";"96,04743";"95,66929"
"21";"pendigits";"95,63239";"97,17668";"97,35883";"97,90528";"98,08743"
"22";"planning-relax";"57,89474";"50";"52,63158";"55,55556";"47,36842"
"23";"seeds";"66,66667";"85,71429";"80,95238";"80,95238";"80,95238"
"24";"semeion";"66,45963";"68,58974";"79,24528";"81,875";"82,6087"
"25";"spectf-heart";"36,11111";"50";"55,88235";"57,14286";"55,55556"
"26";"tic-tac-toe";"64,58333";"75";"69,79167";"72,91667";"75,78947"
"27";"twonorm";"95,53451";"96,07578";"95,80514";"95,80514";"96,75237"
"28";"hill-valley-with-noise";"47,10744";"43,80165";"46,28099";"42,97521";"42,62295"
"29";"balance-scale";"70,4918";"80,64516";"80,64516";"80,95238";"74,19355"
"30";"car";"70,11494";"70,11494";"69,36416";"69,54023";"69,54023"
