"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"46,66667";"66,66667";"66,66667";"73,33333"
"2";"bupa";"47,05882";"38,23529";"42,85714";"54,28571";"48,57143"
"3";"segment";"64,93506";"76,62338";"80,08658";"81,81818";"85,71429"
"4";"waveform-5000";"59,88024";"59,08184";"68,6";"68,53707";"70,25948"
"5";"phishingData";"89,59276";"89,60217";"90,95841";"91,5009";"91,39493"
"6";"mushroom";"80,54187";"81,03448";"80,54187";"80,54187";"80,54187"
"7";"pima";"54,54545";"59,74026";"49,35065";"61,03896";"62,33766"
"8";"vehicle";"31,76471";"47,61905";"52,38095";"50,58824";"52,94118"
"9";"wilt";"95,04132";"96,07438";"96,4876";"96,89441";"96,07438"
"10";"kr-vs-kp";"90";"91,84953";"93,75";"94,6875";"94,98433"
"11";"blood-transfusion-service";"62,66667";"64";"69,33333";"73,33333";"69,33333"
"12";"cnae-9";"29,62963";"53,7037";"65,74074";"66,66667";"70,37037"
"13";"connectionist-mines-vs-rocks";"28,57143";"33,33333";"52,38095";"52,38095";"45"
"14";"flare";"48,55072";"50,72464";"58,57143";"60,71429";"55,7971"
"15";"indian-liver-patient";"61,01695";"63,15789";"66,66667";"57,62712";"64,40678"
"16";"leukemia-haslinger";"44,44444";"40";"20";"36,36364";"44,44444"
"17";"mammographic-mass";"65,625";"69,07216";"73,19588";"71,875";"73,95833"
"18";"mfeat-karhunen";"32,5";"42";"56";"59,5";"62"
"19";"musk";"86,9697";"90,28832";"94,39394";"93,93939";"93,9302"
"20";"ozone-onehr";"91,33858";"94,48819";"96,06299";"95,27559";"95,25692"
"21";"pendigits";"72,45455";"80,27273";"86,89718";"90,38985";"90,26388"
"22";"planning-relax";"38,88889";"50";"47,36842";"61,11111";"44,44444"
"23";"seeds";"42,85714";"66,66667";"66,66667";"71,42857";"71,42857"
"24";"semeion";"23,125";"34,375";"38,36478";"48,125";"48,75"
"25";"spectf-heart";"48,57143";"52,77778";"58,33333";"63,88889";"57,14286"
"26";"tic-tac-toe";"48,95833";"54,16667";"63,54167";"80,20833";"86,31579"
"27";"twonorm";"76,89189";"80,54054";"79,18919";"80,54054";"81,24157"
"28";"hill-valley-with-noise";"42,14876";"47,54098";"45,08197";"47,54098";"45,45455"
"29";"balance-scale";"53,22581";"61,90476";"67,74194";"72,13115";"71,42857"
"30";"car";"58,04598";"71,09827";"70,17544";"68,20809";"76,16279"
