"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"73,33333";"66,66667";"80";"86,66667";"86,66667"
"2";"bupa";"40";"40";"42,85714";"42,85714";"40"
"3";"segment";"67,96537";"68,83117";"68,83117";"68,39827";"67,09957"
"4";"waveform-5000";"74,6507";"74,6507";"74,2515";"75,0499";"75,8483"
"5";"phishingData";"92,1267";"92,30769";"92,21719";"92,1267";"91,9457"
"6";"mushroom";"88,31488";"88,91626";"89,90148";"89,9139";"90,4059"
"7";"pima";"59,74026";"61,03896";"56,57895";"59,74026";"59,74026"
"8";"vehicle";"29,7619";"31,39535";"24,4186";"32,94118";"26,74419"
"9";"wilt";"91,30435";"92,35537";"91,71843";"92,13251";"92,13251"
"10";"kr-vs-kp";"58,93417";"59,24765";"61,25";"60,3125";"61,25"
"11";"blood-transfusion-service";"59,45946";"58,10811";"58,10811";"58,10811";"62,16216"
"12";"cnae-9";"11,11111";"12,03704";"15,74074";"13,88889";"14,81481"
"13";"connectionist-mines-vs-rocks";"36,36364";"40,90909";"45";"40,90909";"45,45455"
"14";"flare";"32,85714";"30,21583";"29,4964";"30,93525";"22,85714"
"15";"indian-liver-patient";"42,37288";"42,37288";"40,67797";"44,0678";"40,67797"
"16";"leukemia-haslinger";"40";"70";"70";"70";"70"
"17";"mammographic-mass";"70,83333";"71,57895";"71,875";"73,95833";"72,63158"
"18";"mfeat-karhunen";"81,5";"86";"87";"86,5";"86"
"19";"musk";"60,45455";"65,75758";"61,9697";"68,93939";"74,09091"
"20";"ozone-onehr";"73,12253";"61,02362";"60,47431";"61,66008";"61,26482"
"21";"pendigits";"73,90909";"75,79618";"76,09091";"79,9818";"76,09091"
"22";"planning-relax";"66,66667";"27,77778";"44,44444";"44,44444";"47,36842"
"23";"seeds";"61,90476";"80,95238";"76,19048";"80,95238";"71,42857"
"24";"semeion";"56,25";"69,375";"68,125";"70";"70,625"
"25";"spectf-heart";"65,71429";"57,14286";"55,88235";"58,82353";"58,82353"
"26";"tic-tac-toe";"63,15789";"63,54167";"65,97938";"65,625";"65,26316"
"27";"twonorm";"97,42896";"97,42896";"97,42896";"97,42896";"97,42896"
"28";"hill-valley-with-noise";"41,32231";"42,14876";"41,32231";"42,97521";"43,80165"
"29";"balance-scale";"45,16129";"62,29508";"52,45902";"55,7377";"50,79365"
"30";"car";"69,54023";"69,54023";"69,54023";"69,54023";"69,54023"
