"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"53,33333";"73,33333";"73,33333";"86,66667"
"2";"bupa";"47,05882";"48,57143";"47,05882";"52,94118";"50"
"3";"segment";"80,95238";"85,28139";"82,25108";"86,58009";"88,74459"
"4";"waveform-5000";"62,2";"66,2";"68,93788";"70,54108";"70,94188"
"5";"phishingData";"87,61302";"89,69259";"91,5009";"91,86257";"91,59132"
"6";"mushroom";"98,15498";"99,01599";"99,38424";"99,50739";"99,38424"
"7";"pima";"62,33766";"63,63636";"61,03896";"57,14286";"58,44156"
"8";"vehicle";"36,90476";"48,80952";"46,42857";"53,57143";"55,95238"
"9";"wilt";"94,61698";"94,6281";"96,4876";"95,86777";"97,10145"
"10";"kr-vs-kp";"89,30818";"92,16301";"93,08176";"95,92476";"95,91195"
"11";"blood-transfusion-service";"70,66667";"62,66667";"68";"72";"73,33333"
"12";"cnae-9";"44,44444";"57,40741";"65,74074";"68,51852";"69,44444"
"13";"connectionist-mines-vs-rocks";"52,38095";"42,85714";"61,90476";"52,38095";"45"
"14";"flare";"64,7482";"65,21739";"69,06475";"70,28986";"68,34532"
"15";"indian-liver-patient";"61,40351";"60,34483";"47,45763";"63,7931";"62,71186"
"16";"leukemia-haslinger";"44,44444";"50";"30";"40";"60"
"17";"mammographic-mass";"68,75";"75";"75";"74,73684";"76,04167"
"18";"mfeat-karhunen";"42";"52";"59,5";"63";"62,5"
"19";"musk";"95,15152";"96,36364";"98,48485";"98,33333";"98,93778"
"20";"ozone-onehr";"96,85039";"96,85039";"96,44269";"96,85039";"96,85039"
"21";"pendigits";"79,19708";"85,72727";"87,17015";"89,38294";"90,15497"
"22";"planning-relax";"68,42105";"55,55556";"68,42105";"68,42105";"68,42105"
"23";"seeds";"33,33333";"71,42857";"66,66667";"71,42857";"80,95238"
"24";"semeion";"25,94937";"41,50943";"39,62264";"48,75";"54,43038"
"25";"spectf-heart";"55,55556";"61,11111";"71,42857";"71,42857";"60"
"26";"tic-tac-toe";"52,08333";"64,58333";"64,21053";"65,97938";"70,52632"
"27";"twonorm";"69,05405";"75,94595";"77,02703";"77,16216";"76,48649"
"28";"hill-valley-with-noise";"48,76033";"42,97521";"42,14876";"45,45455";"44,6281"
"29";"balance-scale";"56,45161";"56,45161";"60,31746";"61,29032";"69,35484"
"30";"car";"69,54023";"81,39535";"83,90805";"86,7052";"87,7907"
