"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"70,58824";"65,71429";"62,85714";"68,57143";"65,71429"
"3";"segment";"90,47619";"92,64069";"93,50649";"96,5368";"95,671"
"4";"waveform-5000";"82,2";"82,16433";"83,96794";"82,63473";"85,4"
"5";"phishingData";"92,94756";"94,39421";"93,85172";"94,93671";"95,11312"
"6";"mushroom";"86,34686";"86,22386";"86,34686";"86,34686";"86,34686"
"7";"pima";"71,42857";"74,02597";"80,51948";"76,62338";"72,72727"
"8";"vehicle";"61,44578";"67,05882";"68,23529";"70,58824";"74,11765"
"9";"wilt";"95,04132";"94,6281";"95,45455";"94,83471";"96,07438"
"10";"kr-vs-kp";"82,75862";"86,5625";"88,99371";"90";"92,5"
"11";"blood-transfusion-service";"80";"77,33333";"81,33333";"81,33333";"81,08108"
"12";"cnae-9";"58,33333";"69,44444";"80,55556";"76,85185";"85,18519"
"13";"connectionist-mines-vs-rocks";"80,95238";"95";"80,95238";"80,95238";"95,2381"
"14";"flare";"70,07299";"69,34307";"75,1773";"75,1773";"75,1773"
"15";"indian-liver-patient";"71,92982";"71,18644";"72,88136";"75,86207";"73,68421"
"16";"leukemia-haslinger";"100";"100";"90,90909";"100";"100"
"17";"mammographic-mass";"81,4433";"87,36842";"83,33333";"85,26316";"86,31579"
"18";"mfeat-karhunen";"88,5";"93";"95";"97";"96,5"
"19";"musk";"95,15152";"96,05463";"97,57208";"97,72727";"98,18182"
"20";"ozone-onehr";"97,24409";"97,2332";"97,2332";"97,24409";"97,24409"
"21";"pendigits";"98,27273";"98,81603";"99,18033";"99,36479";"99,27273"
"22";"planning-relax";"77,77778";"72,22222";"73,68421";"73,68421";"77,77778"
"23";"seeds";"100";"100";"100";"100";"100"
"24";"semeion";"79,24528";"88,05031";"87,5";"90,625";"90,625"
"25";"spectf-heart";"77,14286";"79,41176";"77,77778";"74,28571";"82,35294"
"26";"tic-tac-toe";"83,50515";"90,625";"93,68421";"95,83333";"95,87629"
"27";"twonorm";"98,24324";"98,24324";"98,51351";"98,24324";"98,24324"
"28";"hill-valley-with-noise";"53,71901";"56,19835";"56,66667";"57,85124";"58,67769"
"29";"balance-scale";"87,09677";"92,06349";"88,88889";"88,52459";"90,47619"
"30";"car";"76,16279";"76,30058";"77,45665";"77,45665";"79,76879"
