"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"86,66667";"86,66667";"100";"100";"100"
"2";"bupa";"73,52941";"65,71429";"73,52941";"68,57143";"71,42857"
"3";"segment";"90,04329";"89,17749";"91,77489";"90,90909";"96,1039"
"4";"waveform-5000";"72,25549";"75,9519";"79";"80,63872";"79,75952"
"5";"phishingData";"92,76673";"93,7613";"93,03797";"93,57466";"94,48463"
"6";"mushroom";"86,34686";"86,59287";"86,71587";"85,09852";"83,49754"
"7";"pima";"76,62338";"83,11688";"74,02597";"76,62338";"84,41558"
"8";"vehicle";"50";"66,27907";"66,66667";"73,80952";"69,76744"
"9";"wilt";"97,93388";"97,93388";"98,1405";"97,93388";"98,34711"
"10";"kr-vs-kp";"94,98433";"97,8125";"98,4375";"98,74214";"99,0566"
"11";"blood-transfusion-service";"77,33333";"78,66667";"77,33333";"80";"80"
"12";"cnae-9";"56,48148";"71,2963";"79,62963";"81,48148";"79,62963"
"13";"connectionist-mines-vs-rocks";"71,42857";"80";"85";"80,95238";"90"
"14";"flare";"71,22302";"72,46377";"75";"72,85714";"73,38129"
"15";"indian-liver-patient";"77,58621";"77,9661";"74,13793";"74,13793";"74,13793"
"16";"leukemia-haslinger";"50";"81,81818";"90";"80";"90,90909"
"17";"mammographic-mass";"86,45833";"86,45833";"87,5";"89,47368";"88,42105"
"18";"mfeat-karhunen";"56";"65,5";"69,5";"74";"74,5"
"19";"musk";"92,87879";"96,9697";"97,12557";"98,0303";"99,39302"
"20";"ozone-onehr";"97,24409";"97,2332";"97,2332";"97,24409";"97,24409"
"21";"pendigits";"84,45455";"90";"91,90909";"92,81165";"94,99545"
"22";"planning-relax";"77,77778";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"95,2381";"95,2381";"90,47619";"95,2381";"95,2381"
"24";"semeion";"40,37267";"53,41615";"57,86164";"64,33121";"64,96815"
"25";"spectf-heart";"82,35294";"86,11111";"83,33333";"85,71429";"80"
"26";"tic-tac-toe";"73,95833";"78,125";"88,42105";"96,84211";"100"
"27";"twonorm";"84,57375";"86,48649";"89,32432";"90,94595";"91,20433"
"28";"hill-valley-with-noise";"55,7377";"61,47541";"62,29508";"57,02479";"57,5"
"29";"balance-scale";"74,60317";"80,64516";"80,95238";"83,87097";"81,96721"
"30";"car";"72,09302";"77,32558";"78,03468";"81,39535";"82,08092"
