"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"61,76471";"67,64706";"67,64706";"64,70588";"70,58824"
"3";"segment";"74,45887";"73,59307";"77,48918";"76,62338";"76,19048"
"4";"waveform-5000";"79,44112";"78,24351";"78";"78,64271";"79,84032"
"5";"phishingData";"94,29864";"94,11765";"94,11765";"94,02715";"94,29864"
"6";"mushroom";"93,48093";"94,21894";"93,84236";"94,34194";"93,97294"
"7";"pima";"72,72727";"76,31579";"81,81818";"75";"77,63158"
"8";"vehicle";"45,88235";"44,70588";"48,23529";"43,52941";"50,58824"
"9";"wilt";"94,40994";"93,59504";"93,59504";"93,80165";"94,00826"
"10";"kr-vs-kp";"75";"73,66771";"75,3125";"76,48903";"78,4375"
"11";"blood-transfusion-service";"80";"81,33333";"80";"80";"80"
"12";"cnae-9";"44,44444";"47,22222";"43,51852";"52,77778";"33,33333"
"13";"connectionist-mines-vs-rocks";"71,42857";"68,18182";"85";"80";"80,95238"
"14";"flare";"60,14493";"60,43165";"46,42857";"44,28571";"63,76812"
"15";"indian-liver-patient";"71,18644";"66,10169";"57,62712";"71,18644";"67,79661"
"16";"leukemia-haslinger";"90,90909";"100";"100";"90,90909";"100"
"17";"mammographic-mass";"83,50515";"84,53608";"83,50515";"86,31579";"83,50515"
"18";"mfeat-karhunen";"90,5";"90,5";"92,5";"95";"95"
"19";"musk";"80,15152";"84,84848";"84,69697";"80";"82,27273"
"20";"ozone-onehr";"95,65217";"78,74016";"76,37795";"71,65354";"71,65354"
"21";"pendigits";"85,59708";"85,89627";"86,05287";"85,7794";"86,4175"
"22";"planning-relax";"73,68421";"77,77778";"72,22222";"83,33333";"77,77778"
"23";"seeds";"90,47619";"100";"100";"100";"100"
"24";"semeion";"73,88535";"81,98758";"78,88199";"88,81988";"83,85093"
"25";"spectf-heart";"85,29412";"82,35294";"85,71429";"82,85714";"80"
"26";"tic-tac-toe";"73,95833";"73,95833";"77,08333";"76,04167";"77,08333"
"27";"twonorm";"98,78214";"98,78214";"98,64682";"98,64682";"98,5115"
"28";"hill-valley-with-noise";"55,7377";"54,91803";"54,09836";"54,91803";"54,91803"
"29";"balance-scale";"82,53968";"82,25806";"85,71429";"90,47619";"85,48387"
"30";"car";"71,51163";"70,52023";"70,52023";"78,03468";"78,61272"
