"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"100";"100";"100";"100"
"2";"bupa";"70,58824";"71,42857";"74,28571";"65,71429";"67,64706"
"3";"segment";"88,74459";"93,07359";"94,37229";"93,93939";"94,37229"
"4";"waveform-5000";"75,1503";"76,2";"76,4";"78,04391";"76,4"
"5";"phishingData";"94,11765";"92,76673";"94,57505";"94,21338";"94,3038"
"6";"mushroom";"99,754";"99,877";"100";"100";"100"
"7";"pima";"74,02597";"80,51948";"79,22078";"81,81818";"78,94737"
"8";"vehicle";"63,52941";"66,66667";"76,47059";"70,58824";"74,11765"
"9";"wilt";"97,31405";"98,5567";"98,1405";"98,55072";"97,93388"
"10";"kr-vs-kp";"96,25";"97,1875";"97,1875";"98,4375";"99,0625"
"11";"blood-transfusion-service";"77,02703";"80";"77,33333";"78,66667";"81,08108"
"12";"cnae-9";"67,59259";"81,48148";"83,33333";"77,77778";"83,33333"
"13";"connectionist-mines-vs-rocks";"85,71429";"80,95238";"75";"76,19048";"76,19048"
"14";"flare";"75";"76,08696";"75,53957";"75,36232";"76,97842"
"15";"indian-liver-patient";"72,41379";"74,13793";"77,58621";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"81,81818";"70";"90";"100"
"17";"mammographic-mass";"85,41667";"85,41667";"85,41667";"85,41667";"85,41667"
"18";"mfeat-karhunen";"63";"70";"75,5";"77,5";"77"
"19";"musk";"98,33333";"100";"99,69697";"100";"99,84848"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"84,03285";"88,56624";"90,71884";"92,53188";"93,27273"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"73,68421";"72,22222"
"23";"seeds";"33,33333";"95,2381";"90,47619";"100";"95,2381"
"24";"semeion";"50,31447";"69,62025";"63,52201";"65,82278";"68,98734"
"25";"spectf-heart";"77,14286";"75";"80";"83,33333";"91,17647"
"26";"tic-tac-toe";"65,625";"77,08333";"84,21053";"91,66667";"91,66667"
"27";"twonorm";"83,10811";"81,48649";"82,2973";"83,10811";"86,08108"
"28";"hill-valley-with-noise";"57,37705";"53,27869";"56,19835";"61,98347";"59,83607"
"29";"balance-scale";"73,01587";"74,60317";"80,95238";"85,71429";"80,95238"
"30";"car";"83,81503";"86,7052";"91,32948";"93,06358";"94,18605"
