"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"92";"87,999999";"93,333334";"94,666666";"93,999999"
"2";"bupa";"55,445378";"53,831934";"56,789916";"56,462185";"57,067227"
"3";"segment";"85,930737";"89,523809";"90,77922";"93,463203";"92,770563"
"4";"waveform-5000";"79,580932";"79,002173";"80,880579";"79,440693";"82,080141"
"5";"phishingData";"90,628287";"92,690867";"92,989551";"93,912145";"94,029938"
"6";"mushroom";"81,461518";"83,25929";"83,296236";"83,271606";"83,370097"
"7";"pima";"68,747436";"67,190704";"71,216679";"70,963773";"69,140465"
"8";"vehicle";"47,67618";"52,847045";"57,603314";"59,185435";"64,782882"
"9";"wilt";"94,626983";"93,6758";"94,337213";"94,378793";"94,647858"
"10";"kr-vs-kp";"78,378965";"81,975568";"86,266338";"87,922781";"90,236168"
"11";"blood-transfusion-service";"73,654054";"75,133332";"75,275675";"76,338739";"76,210811"
"12";"cnae-9";"48,24074";"58,703705";"66,203704";"67,592593";"70,833334"
"13";"connectionist-mines-vs-rocks";"57,309524";"65,976191";"68,214287";"70,166668";"75,928573"
"14";"flare";"63,78526";"66,230439";"69,605723";"69,536402";"71,697871"
"15";"indian-liver-patient";"66,059911";"65,191589";"69,984823";"69,818255";"70,332676"
"16";"leukemia-haslinger";"76,777778";"77,141414";"84,868687";"84,959596";"87,868687"
"17";"mammographic-mass";"78,777729";"79,002329";"78,368534";"78,268685";"79,208492"
"18";"mfeat-karhunen";"82,95";"89,6";"92,05";"93,4";"93,15"
"19";"musk";"92,618796";"94,77146";"96,013726";"96,756425";"97,681012"
"20";"ozone-onehr";"96,72698";"96,885705";"96,846489";"97,003659";"96,806189"
"21";"pendigits";"96,151885";"97,943923";"98,398708";"98,771716";"98,899253"
"22";"planning-relax";"70,877193";"70,906431";"69,210527";"71,432747";"69,239766"
"23";"seeds";"86,190477";"90,476193";"91,904763";"90,952383";"92,857144"
"24";"semeion";"72,442475";"81,668793";"83,306824";"85,49164";"86,563596"
"25";"spectf-heart";"72,796451";"69,906162";"66,181608";"67,864145";"66,820728"
"26";"tic-tac-toe";"76,715646";"86,434877";"88,836329";"89,873654";"92,793769"
"27";"twonorm";"97,635169";"97,635261";"97,432576";"97,500034";"97,608052"
"28";"hill-valley-with-noise";"49,684382";"50,575102";"50,412592";"51,408448";"50,907736"
"29";"balance-scale";"76,166091";"82,252356";"85,9157";"84,651231";"87,515885"
"30";"car";"72,689014";"72,396639";"73,205243";"74,015487";"75,637681"
