"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"62,666666";"73,333334";"83,333333";"86,000001";"90"
"2";"bupa";"58,588237";"56,47059";"61,478991";"61,159665";"59,35294"
"3";"segment";"78,268398";"85,194807";"87,878789";"89,43723";"90,606061"
"4";"waveform-5000";"69,301444";"73,699897";"75,699782";"76,398343";"76,780305"
"5";"phishingData";"90,845219";"91,949384";"92,057759";"92,772559";"93,324195"
"6";"mushroom";"83,726689";"83,086796";"82,656277";"82,299557";"81,880838"
"7";"pima";"66,143198";"70,710868";"67,699932";"72,127477";"74,596719"
"8";"vehicle";"43,640387";"50,717437";"58,390198";"61,113885";"64,187477"
"9";"wilt";"96,507495";"96,548945";"96,982701";"97,230891";"97,54068"
"10";"kr-vs-kp";"91,394673";"94,992348";"96,026836";"96,465025";"97,403602"
"11";"blood-transfusion-service";"74,47027";"74,872074";"74,872073";"73,933333";"76,872072"
"12";"cnae-9";"49,074075";"63,055555";"70,277777";"74,814815";"74,351852"
"13";"connectionist-mines-vs-rocks";"62,43723";"66,863637";"69,900432";"74,034633";"67,008659"
"14";"flare";"60,820416";"65,510916";"67,591858";"68,111966";"69,479497"
"15";"indian-liver-patient";"67,061173";"70,828284";"69,145056";"68,946138";"69,305885"
"16";"leukemia-haslinger";"48,989899";"64,848485";"59,101011";"60,212122";"63,424242"
"17";"mammographic-mass";"80,95631";"80,241216";"82,202104";"82,83912";"81,911262"
"18";"mfeat-karhunen";"46,2";"59,35";"62,75";"67,65";"69,45"
"19";"musk";"88,723798";"92,55796";"95,225158";"96,483719";"97,196325"
"20";"ozone-onehr";"96,09611";"96,295137";"96,766498";"95,701163";"96,609479"
"21";"pendigits";"81,967731";"87,135811";"90,120104";"91,339266";"92,602944"
"22";"planning-relax";"69,82456";"66,637425";"66,461987";"66,578946";"67,163741"
"23";"seeds";"78,09524";"78,571432";"83,333335";"81,904764";"85,238097"
"24";"semeion";"33,38885";"44,49276";"52,981237";"55,880892";"58,451353"
"25";"spectf-heart";"72,519606";"66,950513";"73,32913";"73,09057";"72,510737"
"26";"tic-tac-toe";"64,919073";"70,654039";"79,652989";"88,918723";"95,513134"
"27";"twonorm";"81,013657";"84,71662";"87,323871";"88,527124";"88,689303"
"28";"hill-valley-with-noise";"50,320338";"51,143498";"52,805252";"52,144719";"50,342872"
"29";"balance-scale";"65,930474";"72,166947";"73,775235";"74,574007";"75,073322"
"30";"car";"66,90322";"72,175783";"75,523728";"75,459903";"78,59143"
