"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"86,666666";"90,000001";"96";"94,666666";"95,333332"
"2";"bupa";"53,016806";"48,420169";"50,453781";"49,865545";"52,82353"
"3";"segment";"68,008658";"67,142857";"69,00433";"71,68831";"71,861472"
"4";"waveform-5000";"76,699245";"76,718804";"76,839246";"77,038846";"77,258567"
"5";"phishingData";"92,9354";"92,835966";"92,854042";"92,899224";"92,890189"
"6";"mushroom";"91,925363";"92,085189";"92,590054";"92,848432";"92,848462"
"7";"pima";"67,71702";"70,456253";"70,329802";"69,933356";"72,147984"
"8";"vehicle";"39,238095";"37,226891";"40,42577";"38,166667";"43,021008"
"9";"wilt";"89,502978";"90,408904";"86,360472";"85,450568";"88,342486"
"10";"kr-vs-kp";"68,7115";"68,618534";"69,179565";"70,244808";"72,089537"
"11";"blood-transfusion-service";"70,72973";"70,98919";"72,866667";"72,324325";"72,729729"
"12";"cnae-9";"25,462962";"28,425925";"22,777778";"26,388889";"25,092593"
"13";"connectionist-mines-vs-rocks";"58,577922";"60,032468";"63,14502";"61,532469";"62,982684"
"14";"flare";"39,699271";"41,520517";"35,843812";"35,567511";"43,209452"
"15";"indian-liver-patient";"54,003507";"49,719462";"50,42373";"54,000585";"53,497956"
"16";"leukemia-haslinger";"63,757576";"86,959596";"81,050505";"83,868687";"87,959596"
"17";"mammographic-mass";"77,303015";"78,550936";"78,134315";"78,346944";"78,549907"
"18";"mfeat-karhunen";"87,6";"88,9";"90";"90,55";"90,6"
"19";"musk";"72,900999";"79,584906";"76,644318";"74,704349";"76,311652"
"20";"ozone-onehr";"83,438422";"69,669477";"68,411658";"66,873736";"66,398183"
"21";"pendigits";"82,143163";"82,823595";"80,651098";"82,779662";"84,135171"
"22";"planning-relax";"69,766082";"59,385966";"64,415205";"57,865499";"63,742691"
"23";"seeds";"85,238096";"88,57143";"88,095239";"88,571431";"89,523811"
"24";"semeion";"68,246791";"73,200323";"73,896143";"76,009761";"78,777545"
"25";"spectf-heart";"75,34127";"68,225491";"67,923437";"67,96452";"67,646125"
"26";"tic-tac-toe";"67,432876";"67,747456";"67,329536";"69,925337";"70,353995"
"27";"twonorm";"97,851549";"97,824504";"97,824485";"97,851494";"97,824467"
"28";"hill-valley-with-noise";"50,075825";"49,910547";"50,573816";"51,071716";"50,821659"
"29";"balance-scale";"62,711424";"73,738552";"79,831995";"80,444462";"79,520325"
"30";"car";"70,198413";"70,081798";"70,255207";"72,280012";"73,207231"
