"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"91,333332";"92,666665";"91,333333";"93,999999"
"2";"bupa";"60,62185";"57,655461";"58,789916";"58,554622";"59,445378"
"3";"segment";"86,363638";"88,831169";"90,389609";"91,12554";"92,03463"
"4";"waveform-5000";"68,50205";"73,121094";"72,162133";"73,418417";"73,980535"
"5";"phishingData";"91,24364";"91,877009";"92,609731";"93,007666";"93,315327"
"6";"mushroom";"98,941447";"99,458326";"99,716857";"99,766102";"99,753741"
"7";"pima";"66,797674";"71,332877";"72,638415";"70,951809";"72,788789"
"8";"vehicle";"51,055744";"58,184055";"61,105559";"61,803102";"65,140739"
"9";"wilt";"95,701152";"96,858049";"96,549156";"97,127411";"96,941077"
"10";"kr-vs-kp";"92,708464";"94,335717";"95,368632";"96,182602";"97,465516"
"11";"blood-transfusion-service";"74,866667";"75,405406";"75,938739";"76,205406";"75,944145"
"12";"cnae-9";"55,648148";"65,740741";"71,666666";"73,796297";"76,944445"
"13";"connectionist-mines-vs-rocks";"61,476191";"60,142857";"63,952381";"62,02381";"62,02381"
"14";"flare";"71,56089";"71,124639";"71,99049";"72,571264";"73,007069"
"15";"indian-liver-patient";"70,679248";"71,363058";"70,521447";"70,322731";"70,170773"
"16";"leukemia-haslinger";"48,989899";"60,848485";"59,212122";"66,919192";"75,181818"
"17";"mammographic-mass";"80,01118";"80,531008";"79,080147";"82,204187";"82,20309"
"18";"mfeat-karhunen";"54,5";"62,35";"69,95";"69,45";"71,6"
"19";"musk";"97,01423";"98,757229";"99,15126";"99,424217";"99,454427"
"20";"ozone-onehr";"96,884617";"97,121771";"97,121771";"97,121771";"97,121771"
"21";"pendigits";"82,241603";"87,053456";"89,209916";"90,474555";"91,639219"
"22";"planning-relax";"71,461986";"69,79532";"70,350875";"71,988302";"71,461986"
"23";"seeds";"33,33333";"76,666669";"82,380953";"85,238097";"86,190479"
"24";"semeion";"39,420628";"54,378325";"55,556406";"58,951189";"61,657672"
"25";"spectf-heart";"68,099906";"71,59617";"72,78898";"74,169934";"76,20308"
"26";"tic-tac-toe";"65,032454";"66,809821";"77,246813";"80,783019";"80,574935"
"27";"twonorm";"75,77037";"78,932735";"79,216061";"80,580854";"81,500266"
"28";"hill-valley-with-noise";"51,141387";"50,487006";"49,498577";"53,632332";"54,273788"
"29";"balance-scale";"64,337548";"68,781991";"71,048325";"77,60268";"72,481932"
"30";"car";"79,863029";"82,467261";"87,207586";"89,748691";"91,847123"
