"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"80";"73,33333";"86,66667";"80";"73,33333"
"2";"bupa";"34,28571";"35,29412";"47,05882";"42,85714";"47,05882"
"3";"segment";"80,51948";"84,41558";"87,44589";"90,47619";"88,31169"
"4";"waveform-5000";"73,65269";"74,0519";"76,95391";"77,04591";"76,95391"
"5";"phishingData";"88,04348";"91,49321";"91,68174";"92,57919";"93,03797"
"6";"mushroom";"75,73892";"79,18719";"80,93481";"80,93481";"81,18081"
"7";"pima";"64,93506";"57,14286";"67,53247";"66,23377";"66,23377"
"8";"vehicle";"35,29412";"39,53488";"47,05882";"50,58824";"58,82353"
"9";"wilt";"93,80165";"91,1157";"91,51139";"93,78882";"93,40206"
"10";"kr-vs-kp";"71,5625";"79,6875";"83,125";"84,0625";"86,52038"
"11";"blood-transfusion-service";"63,51351";"72";"62,66667";"72";"68"
"12";"cnae-9";"37,03704";"48,14815";"53,7037";"54,62963";"61,11111"
"13";"connectionist-mines-vs-rocks";"33,33333";"52,38095";"55";"57,14286";"57,14286"
"14";"flare";"57,24638";"59,71223";"62,31884";"61,8705";"68,84058"
"15";"indian-liver-patient";"54,23729";"57,62712";"65,51724";"61,01695";"66,10169"
"16";"leukemia-haslinger";"50";"60";"70";"70";"70"
"17";"mammographic-mass";"73,95833";"73,19588";"72,16495";"71,13402";"74,2268"
"18";"mfeat-karhunen";"76,5";"83";"87";"90";"91"
"19";"musk";"90,59181";"92,42424";"94,38543";"94,84848";"96,9651"
"20";"ozone-onehr";"95,25692";"96,06299";"96,06299";"96,47059";"95,66929"
"21";"pendigits";"94,90909";"96,72131";"97,26776";"98,08917";"98,54413"
"22";"planning-relax";"66,66667";"66,66667";"66,66667";"66,66667";"61,11111"
"23";"seeds";"66,66667";"85,71429";"80,95238";"80,95238";"80,95238"
"24";"semeion";"67,2956";"77,21519";"77,01863";"82,27848";"83,5443"
"25";"spectf-heart";"66,66667";"64,70588";"52,77778";"58,82353";"54,28571"
"26";"tic-tac-toe";"69,79167";"80,41237";"80,20833";"85,26316";"85,41667"
"27";"twonorm";"97,023";"96,89609";"96,62618";"96,89609";"96,75237"
"28";"hill-valley-with-noise";"44,2623";"47,10744";"46,66667";"41,80328";"42,62295"
"29";"balance-scale";"67,74194";"73,01587";"82,53968";"76,19048";"82,53968"
"30";"car";"69,9422";"69,9422";"69,9422";"70,34884";"72,25434"
