"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"40";"66,66667";"60";"66,66667";"80"
"2";"bupa";"48,57143";"44,11765";"42,85714";"48,57143";"47,05882"
"3";"segment";"63,63636";"77,05628";"83,98268";"85,28139";"87,87879"
"4";"waveform-5000";"61,07784";"70,8";"73,4";"69,53908";"74,1483"
"5";"phishingData";"85,24887";"89,24051";"90,77758";"91,68174";"92,02899"
"6";"mushroom";"76,10837";"80,91133";"78,96679";"78,96679";"78,96679"
"7";"pima";"59,74026";"62,33766";"61,84211";"68,42105";"68,83117"
"8";"vehicle";"33,72093";"36,04651";"46,42857";"48,83721";"55,95238"
"9";"wilt";"95,66116";"94,83471";"95,66116";"95,86777";"96,69421"
"10";"kr-vs-kp";"86,83386";"93,10345";"93,4375";"93,75";"95,92476"
"11";"blood-transfusion-service";"61,33333";"68";"69,33333";"64";"74,32432"
"12";"cnae-9";"38,88889";"51,85185";"61,11111";"68,51852";"67,59259"
"13";"connectionist-mines-vs-rocks";"50";"55";"40,90909";"57,14286";"52,38095"
"14";"flare";"53,62319";"56,93431";"59,71223";"63,57143";"62,85714"
"15";"indian-liver-patient";"58,62069";"60,34483";"62,71186";"60,34483";"60,34483"
"16";"leukemia-haslinger";"44,44444";"50";"30";"45,45455";"33,33333"
"17";"mammographic-mass";"75,78947";"68,04124";"77,08333";"72,91667";"74,2268"
"18";"mfeat-karhunen";"35";"48,5";"58";"60";"65"
"19";"musk";"85,75758";"89,09091";"93,17147";"94,68892";"95,75758"
"20";"ozone-onehr";"94,07115";"94,90196";"95,65217";"92,49012";"95,29412"
"21";"pendigits";"78,03099";"85,16833";"88,63636";"89,26297";"90,15497"
"22";"planning-relax";"61,11111";"42,10526";"44,44444";"47,36842";"42,10526"
"23";"seeds";"57,14286";"57,14286";"66,66667";"71,42857";"71,42857"
"24";"semeion";"25,625";"32,27848";"47,79874";"49,375";"52,5"
"25";"spectf-heart";"67,64706";"57,14286";"60";"62,85714";"61,11111"
"26";"tic-tac-toe";"52,63158";"64,58333";"68,75";"67,36842";"83,33333"
"27";"twonorm";"77,43243";"83,26586";"84,72973";"86,73884";"87,55074"
"28";"hill-valley-with-noise";"44,16667";"43,80165";"47,54098";"44,6281";"39,34426"
"29";"balance-scale";"55,55556";"63,49206";"65,07937";"61,29032";"65,07937"
"30";"car";"58,95954";"63,58382";"71,26437";"71,34503";"75,86207"
