"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"73,33333";"80";"80";"80";"86,66667"
"2";"bupa";"41,17647";"32,35294";"41,17647";"35,29412";"40"
"3";"segment";"61,03896";"60,17316";"60,60606";"64,93506";"67,53247"
"4";"waveform-5000";"73,9479";"74,9499";"74,9499";"75,1503";"74,3487"
"5";"phishingData";"91,76471";"91,86257";"91,76471";"91,76471";"91,67421"
"6";"mushroom";"87,82288";"89,6679";"90,1599";"90,89791";"90,89791"
"7";"pima";"61,03896";"62,33766";"58,44156";"62,33766";"61,03896"
"8";"vehicle";"29,7619";"29,41176";"34,11765";"31,76471";"35,71429"
"9";"wilt";"82,64463";"79,08903";"66,52893";"70,66116";"70,04132"
"10";"kr-vs-kp";"61,5625";"60,9375";"61,875";"64,375";"68,125"
"11";"blood-transfusion-service";"61,33333";"64";"66,66667";"66,66667";"64"
"12";"cnae-9";"11,11111";"12,03704";"12,03704";"11,11111";"12,03704"
"13";"connectionist-mines-vs-rocks";"45";"50";"52,38095";"45";"50"
"14";"flare";"20,71429";"17,3913";"27,53623";"20,86331";"27,53623"
"15";"indian-liver-patient";"44,82759";"39,65517";"43,10345";"41,37931";"44,82759"
"16";"leukemia-haslinger";"30";"77,77778";"70";"70";"77,77778"
"17";"mammographic-mass";"68,42105";"72,91667";"71,875";"72,63158";"73,95833"
"18";"mfeat-karhunen";"84,5";"86";"86,5";"87,5";"87"
"19";"musk";"60";"74,84848";"69,84848";"67,87879";"67,72727"
"20";"ozone-onehr";"75,09881";"60,86957";"65,21739";"60,07905";"59,68379"
"21";"pendigits";"76,27273";"77,72727";"76,0218";"77,45455";"81,92552"
"22";"planning-relax";"66,66667";"50";"52,63158";"31,57895";"50"
"23";"seeds";"71,42857";"80,95238";"80,95238";"80,95238";"76,19048"
"24";"semeion";"53,125";"60,625";"63,75";"70";"76,25"
"25";"spectf-heart";"64,70588";"61,11111";"60";"55,55556";"61,11111"
"26";"tic-tac-toe";"61,45833";"61,45833";"61,05263";"65,26316";"64,58333"
"27";"twonorm";"97,29364";"97,29364";"97,29364";"97,29364";"97,29364"
"28";"hill-valley-with-noise";"45,08197";"46,66667";"45,45455";"47,10744";"46,66667"
"29";"balance-scale";"50,79365";"63,49206";"68,25397";"70,96774";"71,42857"
"30";"car";"69,54023";"69,54023";"69,54023";"70,11494";"70,52023"
