"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"80";"73,33333";"73,33333";"86,66667"
"2";"bupa";"57,14286";"42,85714";"44,11765";"48,57143";"52,94118"
"3";"segment";"83,54978";"84,41558";"84,84848";"89,17749";"87,44589"
"4";"waveform-5000";"64,6";"70,05988";"68";"69,93988";"71,25749"
"5";"phishingData";"88,0651";"89,60217";"91,32007";"91,40271";"92,40506"
"6";"mushroom";"97,78598";"98,27586";"99,38348";"99,38348";"99,26108"
"7";"pima";"57,14286";"60,52632";"65,78947";"64,93506";"63,63636"
"8";"vehicle";"34,52381";"44,70588";"53,57143";"55,95238";"57,64706"
"9";"wilt";"94,61698";"95,2381";"95,45455";"95,65217";"96,06625"
"10";"kr-vs-kp";"88,08777";"90,59561";"92,78997";"92,8125";"96,25"
"11";"blood-transfusion-service";"66,66667";"64";"73,33333";"73,33333";"72"
"12";"cnae-9";"42,59259";"59,25926";"63,88889";"70,37037";"70,37037"
"13";"connectionist-mines-vs-rocks";"52,38095";"38,09524";"55";"42,85714";"38,09524"
"14";"flare";"65,21739";"65,94203";"68,11594";"69,56522";"70,5036"
"15";"indian-liver-patient";"64,40678";"67,79661";"61,01695";"60,34483";"59,32203"
"16";"leukemia-haslinger";"44,44444";"40";"40";"50";"50"
"17";"mammographic-mass";"70,52632";"73,68421";"71,57895";"76,84211";"75,78947"
"18";"mfeat-karhunen";"47,5";"54";"63,5";"64";"64,5"
"19";"musk";"95,75758";"97,12121";"98,33333";"98,33333";"99,09228"
"20";"ozone-onehr";"94,86166";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"80,41894";"84,89536";"87,72727";"89,14234";"90,18182"
"22";"planning-relax";"68,42105";"55,55556";"61,11111";"68,42105";"68,42105"
"23";"seeds";"33,33333";"47,61905";"61,90476";"76,19048";"71,42857"
"24";"semeion";"30,81761";"47,5";"50";"53,125";"52,20126"
"25";"spectf-heart";"41,17647";"58,82353";"62,85714";"65,71429";"64,70588"
"26";"tic-tac-toe";"62,5";"60,41667";"69,47368";"69,47368";"62,5"
"27";"twonorm";"72,06478";"75,94595";"75,9134";"78,37838";"78,51351"
"28";"hill-valley-with-noise";"45,83333";"46,28099";"43,33333";"43,33333";"45,83333"
"29";"balance-scale";"57,14286";"57,14286";"65,07937";"69,84127";"61,90476"
"30";"car";"73,98844";"74,4186";"83,62573";"85,38012";"89,08046"
