"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"61,76471";"64,70588";"70,58824";"67,64706";"71,42857"
"3";"segment";"90,47619";"93,07359";"93,93939";"94,80519";"96,5368"
"4";"waveform-5000";"83,2";"83,6";"83";"83,76754";"83,6"
"5";"phishingData";"93,39367";"94,57505";"94,57014";"94,93213";"95,02262"
"6";"mushroom";"85,60886";"84,50185";"84,50185";"84,74785";"84,74785"
"7";"pima";"72,72727";"74,02597";"72,72727";"71,42857";"74,02597"
"8";"vehicle";"60,24096";"64,70588";"68,23529";"70,58824";"68,23529"
"9";"wilt";"95,45455";"95,03106";"95,04132";"95,05155";"95,2381"
"10";"kr-vs-kp";"81,5625";"85";"88,125";"89,96865";"90,625"
"11";"blood-transfusion-service";"81,33333";"78,66667";"81,33333";"81,33333";"80"
"12";"cnae-9";"60,18519";"75";"73,14815";"77,77778";"81,48148"
"13";"connectionist-mines-vs-rocks";"76,19048";"95,2381";"90";"80,95238";"90,47619"
"14";"flare";"74,10072";"74,63768";"75,71429";"73,57143";"75,36232"
"15";"indian-liver-patient";"71,18644";"72,88136";"79,31034";"77,58621";"77,58621"
"16";"leukemia-haslinger";"100";"100";"100";"100";"100"
"17";"mammographic-mass";"85,41667";"83,33333";"84,375";"88,54167";"83,33333"
"18";"mfeat-karhunen";"92,5";"95,5";"96";"95";"97"
"19";"musk";"94,84067";"96,81818";"97,87879";"98,33333";"98,63636"
"20";"ozone-onehr";"97,24409";"97,62846";"97,24409";"97,24409";"97,62846"
"21";"pendigits";"97,90909";"98,72727";"99,45455";"99,54504";"99,27007"
"22";"planning-relax";"72,22222";"72,22222";"77,77778";"72,22222";"72,22222"
"23";"seeds";"90,47619";"100";"95,2381";"100";"100"
"24";"semeion";"82,38994";"88,05031";"88,67925";"89,30818";"90,56604"
"25";"spectf-heart";"80";"76,47059";"77,77778";"88,57143";"86,11111"
"26";"tic-tac-toe";"80,20833";"89,58333";"92,78351";"96,84211";"98,95833"
"27";"twonorm";"98,10811";"98,10811";"97,97297";"98,24324";"98,10811"
"28";"hill-valley-with-noise";"61,47541";"60,65574";"55,7377";"60,65574";"63,63636"
"29";"balance-scale";"86,88525";"92,06349";"90,47619";"90,47619";"88,88889"
"30";"car";"77,32558";"76,16279";"77,45665";"76,43678";"78,73563"
