"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"73,33333";"93,33333";"93,33333";"100";"100"
"2";"bupa";"68,57143";"71,42857";"68,57143";"68,57143";"76,47059"
"3";"segment";"84,84848";"90,90909";"93,07359";"93,50649";"93,93939"
"4";"waveform-5000";"74,6";"75,7515";"78";"80";"80,36072"
"5";"phishingData";"92,66968";"93,21267";"94,57505";"93,85172";"95,11754"
"6";"mushroom";"87,08487";"86,59287";"84,25584";"83,74384";"83,74384"
"7";"pima";"74,02597";"78,94737";"77,92208";"76,62338";"77,63158"
"8";"vehicle";"50,58824";"66,66667";"69,04762";"72,61905";"71,76471"
"9";"wilt";"97,72727";"97,72727";"97,72727";"98,55372";"99,17355"
"10";"kr-vs-kp";"95,9375";"98,75";"98,125";"98,75";"99,0625"
"11";"blood-transfusion-service";"82,43243";"77,33333";"77,02703";"81,33333";"78,66667"
"12";"cnae-9";"57,40741";"69,44444";"77,77778";"80,55556";"80,55556"
"13";"connectionist-mines-vs-rocks";"75";"85,71429";"75";"80,95238";"80,95238"
"14";"flare";"73,38129";"73,91304";"77,85714";"70,80292";"75"
"15";"indian-liver-patient";"72,41379";"77,58621";"70,68966";"81,35593";"74,57627"
"16";"leukemia-haslinger";"50";"80";"77,77778";"80";"90"
"17";"mammographic-mass";"86,45833";"88,54167";"89,69072";"88,65979";"88,65979"
"18";"mfeat-karhunen";"56,5";"61";"70,5";"72,5";"80,5"
"19";"musk";"94,24242";"95,15152";"96,9697";"98,18182";"98,3308"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,2332";"97,62846"
"21";"pendigits";"85,71429";"89,35396";"91,72727";"92,81165";"93,44859"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"85,71429";"95,2381";"90,47619";"95,2381";"90,47619"
"24";"semeion";"41,875";"53,125";"61,63522";"61,00629";"63,29114"
"25";"spectf-heart";"74,28571";"88,57143";"77,14286";"85,29412";"85,71429"
"26";"tic-tac-toe";"73,95833";"76,04167";"81,05263";"100";"100"
"27";"twonorm";"86,35135";"88,51351";"88,78378";"89,05405";"89,32432"
"28";"hill-valley-with-noise";"60,65574";"54,91803";"59,16667";"54,91803";"55,7377"
"29";"balance-scale";"74,60317";"76,19048";"83,87097";"83,87097";"85,71429"
"30";"car";"79,31034";"79,76879";"79,65116";"79,06977";"80,45977"
