"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"62,85714";"60";"60";"61,76471";"62,85714"
"3";"segment";"80,08658";"75,75758";"73,59307";"72,29437";"77,92208"
"4";"waveform-5000";"79";"79,64072";"79";"79";"80,03992"
"5";"phishingData";"93,7613";"93,67089";"93,7613";"93,67089";"93,67089"
"6";"mushroom";"93,11193";"93,60394";"93,60394";"94,09594";"94,09594"
"7";"pima";"74,02597";"80,51948";"77,63158";"77,63158";"78,94737"
"8";"vehicle";"47,61905";"45,88235";"48,80952";"46,42857";"45,2381"
"9";"wilt";"93,59504";"92,96066";"93,80165";"93,37474";"93,38843"
"10";"kr-vs-kp";"75";"73,35423";"75,3125";"74,0625";"76,875"
"11";"blood-transfusion-service";"77,33333";"76";"78,66667";"77,02703";"76"
"12";"cnae-9";"35,18519";"40,74074";"52,77778";"48,14815";"30,55556"
"13";"connectionist-mines-vs-rocks";"80";"71,42857";"70";"71,42857";"75"
"14";"flare";"57,97101";"58,69565";"48,22695";"58,69565";"56,52174"
"15";"indian-liver-patient";"61,01695";"55,17241";"56,89655";"58,62069";"57,62712"
"16";"leukemia-haslinger";"90";"100";"90";"100";"100"
"17";"mammographic-mass";"82,47423";"83,15789";"83,15789";"82,47423";"81,4433"
"18";"mfeat-karhunen";"90,5";"92,5";"92,5";"95";"93"
"19";"musk";"80,90909";"81,9697";"85";"83,91502";"81,36364"
"20";"ozone-onehr";"97,2332";"77,16535";"71,5415";"71,14625";"73,12253"
"21";"pendigits";"85,68824";"84,68551";"86,16924";"85,14129";"85,89627"
"22";"planning-relax";"72,22222";"77,77778";"66,66667";"72,22222";"72,22222"
"23";"seeds";"100";"100";"95,2381";"95,2381";"95,2381"
"24";"semeion";"74,05063";"76,10063";"81,875";"78,75";"82,38994"
"25";"spectf-heart";"88,57143";"86,11111";"86,11111";"83,33333";"83,33333"
"26";"tic-tac-toe";"75";"70,52632";"72,91667";"76,84211";"73,95833"
"27";"twonorm";"98,64865";"98,64865";"98,64865";"98,64865";"98,64865"
"28";"hill-valley-with-noise";"54,09836";"55";"54,16667";"55";"55"
"29";"balance-scale";"77,04918";"85,71429";"86,88525";"87,09677";"88,88889"
"30";"car";"70,34884";"72,09302";"70,93023";"77,32558";"75,72254"
