"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"100";"100";"100";"100"
"2";"bupa";"76,47059";"70,58824";"64,70588";"68,57143";"64,70588"
"3";"segment";"88,74459";"90,90909";"92,20779";"92,64069";"94,37229"
"4";"waveform-5000";"73,2";"74,8";"76,75351";"75,7515";"77,55511"
"5";"phishingData";"93,12839";"93,21881";"94,03255";"94,66546";"94,48463"
"6";"mushroom";"99,754";"100";"100";"100";"100"
"7";"pima";"80,51948";"74,02597";"74,02597";"81,81818";"81,81818"
"8";"vehicle";"54,7619";"64,70588";"63,09524";"69,41176";"73,80952"
"9";"wilt";"98,14433";"97,93814";"97,10744";"98,1405";"98,34711"
"10";"kr-vs-kp";"95,625";"97,5";"97,5";"98,125";"98,75"
"11";"blood-transfusion-service";"81,08108";"78,66667";"86,48649";"78,66667";"85,33333"
"12";"cnae-9";"67,59259";"80,55556";"75,92593";"81,48148";"85,18519"
"13";"connectionist-mines-vs-rocks";"90,47619";"70";"95,2381";"80,95238";"81,81818"
"14";"flare";"76,64234";"76,08696";"77,53623";"73,91304";"77,37226"
"15";"indian-liver-patient";"72,88136";"72,88136";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"90";"90";"81,81818";"90"
"17";"mammographic-mass";"86,45833";"86,45833";"86,59794";"87,36842";"89,69072"
"18";"mfeat-karhunen";"61,5";"70,5";"78,5";"76,5";"78,5"
"19";"musk";"97,87557";"98,48255";"99,39302";"100";"100"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"85,74024";"90,07286";"90,89253";"93,36966";"92,97445"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"33,33333";"95,2381";"95,2381";"100";"95,2381"
"24";"semeion";"50,31447";"59,74843";"59,62733";"66,66667";"65,18987"
"25";"spectf-heart";"73,52941";"77,14286";"79,41176";"83,33333";"85,29412"
"26";"tic-tac-toe";"72,91667";"71,13402";"81,05263";"87,5";"87,5"
"27";"twonorm";"78,78378";"82,02703";"82,6793";"83,10811";"84,45946"
"28";"hill-valley-with-noise";"58,67769";"57,85124";"61,15702";"57,02479";"59,50413"
"29";"balance-scale";"81,96721";"78,68852";"82,53968";"77,41935";"80,32787"
"30";"car";"84,21053";"89,65517";"93,64162";"90,75145";"94,79769"
