"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"84,666666";"90,666666";"92,666666";"90";"92"
"2";"bupa";"53,000001";"55,983193";"56,260505";"53,638655";"61,714288"
"3";"segment";"86,580088";"90,69264";"93,24675";"92,68398";"92,813853"
"4";"waveform-5000";"78,739867";"79,91963";"80,559913";"80,640274";"81,479754"
"5";"phishingData";"91,189776";"92,681941";"93,15234";"93,749528";"94,192739"
"6";"mushroom";"83,148434";"82,877452";"83,296142";"83,27151";"83,308427"
"7";"pima";"66,131237";"69,263498";"68,609022";"67,841763";"67,705056"
"8";"vehicle";"50,5913";"57,653089";"59,195439";"60,846569";"63,580698"
"9";"wilt";"94,048471";"94,709713";"94,482226";"94,441034";"94,04864"
"10";"kr-vs-kp";"77,314166";"82,538891";"86,013716";"87,514891";"88,609424"
"11";"blood-transfusion-service";"73,929731";"76,468469";"74,724324";"75,133334";"76,207207"
"12";"cnae-9";"42,222222";"60,740739";"64,907406";"68,703704";"71,944445"
"13";"connectionist-mines-vs-rocks";"58,19264";"60,569266";"68,406926";"69,651515";"77,39394"
"14";"flare";"65,653209";"67,46948";"68,753109";"70,411435";"70,558409"
"15";"indian-liver-patient";"66,871686";"66,886811";"70,186769";"70,508218";"67,433582"
"16";"leukemia-haslinger";"78,868687";"84,868687";"84,959596";"88,868687";"81,959596"
"17";"mammographic-mass";"74,491488";"76,89372";"78,769861";"79,07263";"78,145979"
"18";"mfeat-karhunen";"85,15";"89,9";"92,35";"92,85";"92,65"
"19";"musk";"93,194966";"95,180276";"96,225801";"96,741181";"97,575066"
"20";"ozone-onehr";"96,885084";"97,042565";"96,845091";"96,924298";"97,121616"
"21";"pendigits";"96,725273";"97,952826";"98,535914";"98,790361";"98,835839"
"22";"planning-relax";"69,239764";"60,438594";"70,380116";"70,906431";"67,017544"
"23";"seeds";"87,142858";"91,904764";"89,523812";"90,476192";"92,857146"
"24";"semeion";"74,508794";"80,042326";"83,429331";"86,314689";"85,882644"
"25";"spectf-heart";"72,516339";"70,491596";"67,5845";"70,761905";"71,048086"
"26";"tic-tac-toe";"72,962154";"86,31883";"87,880325";"91,652232";"94,157758"
"27";"twonorm";"97,445872";"97,486468";"97,48643";"97,635079";"97,581008"
"28";"hill-valley-with-noise";"52,4747";"51,232918";"51,803266";"49,73836";"52,471223"
"29";"balance-scale";"78,744848";"83,995576";"85,611291";"87,036967";"87,362444"
"30";"car";"72,337653";"73,379131";"74,131584";"73,606663";"74,303667"
