"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"49,999999";"73,333333";"83,333334";"89,333334";"82,666667"
"2";"bupa";"56,764706";"55,394956";"59,142858";"56,252101";"60,285714"
"3";"segment";"76,493505";"87,142857";"87,705627";"89,264069";"91,47186"
"4";"waveform-5000";"70,161213";"72,38026";"75,5203";"76,900022";"77,960304"
"5";"phishingData";"91,289214";"92,175447";"92,437513";"93,106838";"93,251879"
"6";"mushroom";"83,898344";"83,56644";"82,459035";"81,880565";"82,225818"
"7";"pima";"69,914557";"70,07348";"70,449419";"71,48838";"72,918662"
"8";"vehicle";"43,038672";"56,424597";"55,903275";"62,062071";"62,300368"
"9";"wilt";"96,486962";"96,652422";"96,982914";"97,457736";"97,437246"
"10";"kr-vs-kp";"92,989812";"95,274883";"96,08797";"96,370101";"96,807895"
"11";"blood-transfusion-service";"73,924324";"75,131531";"73,652252";"74,863063";"75,140541"
"12";"cnae-9";"49,537038";"60,833334";"70,092593";"71,01852";"75,185184"
"13";"connectionist-mines-vs-rocks";"52,573592";"65,813853";"63,597402";"64,774892";"66,294373"
"14";"flare";"67,019824";"66,829";"67,298798";"66,969192";"69,182352"
"15";"indian-liver-patient";"69,294093";"69,97206";"66,219663";"71,000492";"67,89079"
"16";"leukemia-haslinger";"48,989899";"55,323233";"55,323233";"63,898989";"63,717171"
"17";"mammographic-mass";"77,510524";"79,911038";"81,25234";"82,496903";"81,246812"
"18";"mfeat-karhunen";"44,45";"57,9";"64,7";"67,9";"71,35"
"19";"musk";"89,572263";"92,528234";"95,377203";"96,650458";"97,211292"
"20";"ozone-onehr";"96,963668";"96,491842";"96,412639";"95,821156";"96,055825"
"21";"pendigits";"81,432019";"86,936301";"89,955778";"91,666688";"92,767771"
"22";"planning-relax";"68,128653";"67,046782";"68,684208";"65,906432";"71,461986"
"23";"seeds";"70,952382";"78,09524";"76,666667";"80,952383";"82,857143"
"24";"semeion";"32,21167";"44,690467";"52,095696";"54,927786";"61,831747"
"25";"spectf-heart";"64,495799";"73,109244";"70,210084";"72,815126";"73,352941"
"26";"tic-tac-toe";"62,117538";"67,327174";"72,651938";"91,233372";"94,062363"
"27";"twonorm";"82,405868";"84,8112";"86,824734";"87,512864";"87,86544"
"28";"hill-valley-with-noise";"51,892789";"51,652972";"51,570348";"51,221989";"51,163223"
"29";"balance-scale";"66,726685";"67,501744";"73,900095";"73,134774";"77,932688"
"30";"car";"69,725554";"72,33678";"75,819468";"75,582234";"77,545914"
