"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"82,000001";"90,666666";"95,999999";"96,666665";"94,666666"
"2";"bupa";"52,445378";"52,445377";"50,134454";"51,050422";"51,882353"
"3";"segment";"73,722945";"69,307361";"69,523809";"69,61039";"70,649351"
"4";"waveform-5000";"76,821304";"76,760425";"76,700144";"77,100306";"77,100344"
"5";"phishingData";"92,890036";"92,844804";"92,89006";"92,88102";"92,844839"
"6";"mushroom";"91,91282";"92,059965";"92,478669";"92,835628";"92,774175"
"7";"pima";"69,801776";"72,282981";"69,941899";"69,027681";"72,795626"
"8";"vehicle";"40,095087";"38,530458";"40,432419";"41,149674";"39,952027"
"9";"wilt";"88,818373";"85,701019";"84,065793";"88,510893";"87,869842"
"10";"kr-vs-kp";"68,649529";"70,433429";"69,743671";"70,994354";"71,776494"
"11";"blood-transfusion-service";"73,387387";"71,663063";"73,664865";"73,670271";"73,266667"
"12";"cnae-9";"20,277778";"25,740739";"29,537038";"28,24074";"22,77778"
"13";"connectionist-mines-vs-rocks";"65,484849";"58,71645";"61,056277";"62,121213";"62,14935"
"14";"flare";"41,323388";"42,738501";"42,756093";"41,416907";"37,093011"
"15";"indian-liver-patient";"51,613041";"51,119483";"51,446572";"52,490233";"52,290801"
"16";"leukemia-haslinger";"70,323233";"86,757576";"81,959596";"84,868687";"84,868687"
"17";"mammographic-mass";"77,5195";"78,163987";"77,938314";"78,042527";"78,148841"
"18";"mfeat-karhunen";"86,1";"89,85";"90,4";"90,1";"90,8"
"19";"musk";"71,871729";"76,448821";"78,099761";"78,964134";"77,553111"
"20";"ozone-onehr";"79,729807";"70,302268";"64,231337";"66,563031";"67,544804"
"21";"pendigits";"80,241768";"80,395364";"83,487473";"84,307102";"83,289838"
"22";"planning-relax";"68,128654";"59,415205";"59,912282";"58,83041";"61,023391"
"23";"seeds";"81,904762";"89,523811";"86,666668";"89,047622";"87,61905"
"24";"semeion";"65,789144";"71,685156";"74,504815";"75,951043";"76,768296"
"25";"spectf-heart";"75,577498";"72,106909";"68,090103";"67,22409";"66,383755"
"26";"tic-tac-toe";"67,111185";"67,020111";"68,070504";"70,673709";"69,935772"
"27";"twonorm";"97,837837";"97,810773";"97,837781";"97,8378";"97,864845"
"28";"hill-valley-with-noise";"49,404372";"51,405738";"51,74317";"49,502732";"51,071038"
"29";"balance-scale";"69,287099";"74,738024";"79,218479";"81,120259";"81,791443"
"30";"car";"70,023995";"70,198413";"70,02433";"71,994691";"72,799922"
