"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"85,333332";"89,999999";"93,333331";"91,999999"
"2";"bupa";"59,436976";"58,294119";"54,789916";"60,865547";"55,100841"
"3";"segment";"85,670996";"87,662338";"90,38961";"90,8658";"91,42857"
"4";"waveform-5000";"70,022766";"71,320008";"73,221295";"72,940256";"75,23974"
"5";"phishingData";"91,107876";"92,057538";"92,672979";"93,224638";"93,550317"
"6";"mushroom";"99,199992";"99,643053";"99,766131";"99,75383";"99,852324"
"7";"pima";"70,184551";"69,531782";"71,093642";"70,827066";"71,729323"
"8";"vehicle";"45,991597";"53,778713";"56,985995";"64,30252";"61,945378"
"9";"wilt";"96,114461";"96,569218";"96,528239";"96,98287";"97,375646"
"10";"kr-vs-kp";"93,742545";"94,679652";"95,963845";"97,026835";"96,931614"
"11";"blood-transfusion-service";"75,144144";"76,472073";"76,884685";"76,472073";"76,742342"
"12";"cnae-9";"57,12963";"68,148148";"68,425926";"73,24074";"75,833333"
"13";"connectionist-mines-vs-rocks";"57,66883";"50,525974";"68,201298";"64,549784";"62,800866"
"14";"flare";"71,925541";"71,84642";"73,009967";"71,62684";"72,432275"
"15";"indian-liver-patient";"71,527987";"71,355573";"70,329856";"71,358495";"70,142524"
"16";"leukemia-haslinger";"48,989899";"67,39394";"80,848485";"63,737374";"68,010101"
"17";"mammographic-mass";"78,05496";"79,811924";"80,332758";"81,578506";"82,093858"
"18";"mfeat-karhunen";"55,5";"61,5";"68,7";"71,15";"72,6"
"19";"musk";"96,635535";"97,908653";"98,908882";"99,394028";"99,378763"
"20";"ozone-onehr";"97,121771";"97,121771";"97,121771";"97,121771";"97,121771"
"21";"pendigits";"82,524079";"86,725723";"89,529103";"90,738198";"92,385468"
"22";"planning-relax";"71,461986";"68,187133";"71,461986";"68,128654";"71,461986"
"23";"seeds";"33,33333";"84,285717";"82,857145";"82,380953";"87,619049"
"24";"semeion";"40,073179";"54,04832";"53,406423";"59,256212";"60,583782"
"25";"spectf-heart";"68,22829";"73,364144";"73,086833";"74,172734";"73,708216"
"26";"tic-tac-toe";"65,653068";"66,802373";"71,943684";"77,782794";"78,49368"
"27";"twonorm";"76,702521";"79,446333";"79,987076";"81,878786";"81,324565"
"28";"hill-valley-with-noise";"49,422798";"51,978085";"52,637863";"50,334666";"51,567471"
"29";"balance-scale";"60,718484";"65,818162";"70,910243";"71,867662";"71,399401"
"30";"car";"79,984292";"83,964043";"87,08443";"89,06257";"90,449517"
