"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"73,33333";"86,66667";"80";"80"
"2";"bupa";"35,29412";"45,71429";"44,11765";"47,05882";"52,94118"
"3";"segment";"80,08658";"89,17749";"91,34199";"89,61039";"89,61039"
"4";"waveform-5000";"75,6487";"76,4";"77,8";"77,6";"79,44112"
"5";"phishingData";"89,51175";"90,76923";"91,40271";"92,30769";"93,39964"
"6";"mushroom";"80,68881";"78,69458";"81,65025";"81,52709";"81,65025"
"7";"pima";"52,63158";"64,47368";"59,21053";"62,33766";"63,63636"
"8";"vehicle";"35,29412";"48,19277";"51,80723";"50,60241";"56,62651"
"9";"wilt";"88,63636";"94,00826";"93,78882";"92,56198";"92,35537"
"10";"kr-vs-kp";"73,75";"76,48903";"82,8125";"85,57994";"85,57994"
"11";"blood-transfusion-service";"58,66667";"74,32432";"69,33333";"69,33333";"73,33333"
"12";"cnae-9";"28,7037";"52,77778";"60,18519";"51,85185";"57,40741"
"13";"connectionist-mines-vs-rocks";"52,38095";"45,45455";"54,54545";"55";"57,14286"
"14";"flare";"59,42029";"57,55396";"61,8705";"67,3913";"67,3913"
"15";"indian-liver-patient";"56,14035";"56,89655";"61,01695";"64,40678";"59,32203"
"16";"leukemia-haslinger";"40";"70";"70";"77,77778";"60"
"17";"mammographic-mass";"52,08333";"71,57895";"74,73684";"71,57895";"73,95833"
"18";"mfeat-karhunen";"79";"83,5";"87,5";"89";"88"
"19";"musk";"91,80577";"93,77845";"95,30303";"95,44765";"96,81818"
"20";"ozone-onehr";"96,06299";"96,44269";"95,65217";"96,04743";"96,83794"
"21";"pendigits";"95,81438";"96,99727";"97,54768";"98,00363";"98,36364"
"22";"planning-relax";"61,11111";"33,33333";"63,15789";"66,66667";"50"
"23";"seeds";"80,95238";"85,71429";"76,19048";"80,95238";"85,71429"
"24";"semeion";"61,63522";"73,91304";"79,74684";"83,125";"81,36646"
"25";"spectf-heart";"65,71429";"62,85714";"51,42857";"57,14286";"54,28571"
"26";"tic-tac-toe";"65,26316";"80";"74,73684";"88,42105";"89,58333"
"27";"twonorm";"96,75676";"97,02703";"96,75676";"96,62162";"96,75676"
"28";"hill-valley-with-noise";"45,45455";"42,14876";"46,66667";"40,83333";"45"
"29";"balance-scale";"73,01587";"77,77778";"74,60317";"81,96721";"84,12698"
"30";"car";"69,9422";"69,9422";"70,93023";"70,93023";"70,68966"
