"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"53,33333";"73,33333";"66,66667";"66,66667"
"2";"bupa";"47,05882";"34,28571";"45,71429";"34,28571";"51,42857"
"3";"segment";"65,80087";"81,38528";"83,54978";"84,84848";"88,74459"
"4";"waveform-5000";"63,27345";"68,8";"74,0519";"75";"73,8"
"5";"phishingData";"88,87884";"91,22966";"91,21377";"91,75725";"92,5859"
"6";"mushroom";"78,69458";"80,02466";"80,02466";"80,02466";"80,1968"
"7";"pima";"64,93506";"61,03896";"62,33766";"62,33766";"67,53247"
"8";"vehicle";"30,58824";"41,17647";"44,57831";"52,94118";"52,94118"
"9";"wilt";"95,45455";"95,86777";"96,07438";"95,44513";"96,27329"
"10";"kr-vs-kp";"88,08777";"92,47649";"92,47649";"93,125";"94,35737"
"11";"blood-transfusion-service";"60,81081";"66,66667";"62,16216";"68,91892";"60"
"12";"cnae-9";"37,03704";"53,7037";"59,25926";"63,88889";"69,44444"
"13";"connectionist-mines-vs-rocks";"28,57143";"52,38095";"47,61905";"45";"50"
"14";"flare";"57,97101";"58,99281";"56,83453";"60,71429";"65"
"15";"indian-liver-patient";"55,17241";"62,06897";"57,62712";"62,71186";"61,40351"
"16";"leukemia-haslinger";"44,44444";"40";"40";"40";"40"
"17";"mammographic-mass";"65,26316";"72,16495";"72,91667";"76,84211";"72,63158"
"18";"mfeat-karhunen";"37,5";"53,5";"60";"63,5";"68"
"19";"musk";"85,58422";"89,24242";"92,57576";"94,69697";"96,20637"
"20";"ozone-onehr";"95,65217";"94,5098";"94,48819";"93,70079";"94,07115"
"21";"pendigits";"78,45455";"84,33515";"88,54545";"90,18182";"91,89435"
"22";"planning-relax";"50";"50";"44,44444";"50";"68,42105"
"23";"seeds";"38,09524";"61,90476";"52,38095";"66,66667";"61,90476"
"24";"semeion";"20,12579";"39,24051";"38,36478";"49,36709";"60,12658"
"25";"spectf-heart";"42,85714";"60";"62,85714";"54,28571";"62,85714"
"26";"tic-tac-toe";"43,75";"59,375";"65,625";"77,08333";"80,20833"
"27";"twonorm";"79,72973";"81,64642";"83,64865";"84,57375";"86,23482"
"28";"hill-valley-with-noise";"47,10744";"47,54098";"41,80328";"41,66667";"46,72131"
"29";"balance-scale";"58,73016";"59,01639";"61,29032";"65,07937";"71,42857"
"30";"car";"63,37209";"68,02326";"68,3908";"71,6763";"72,67442"
