"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"80";"86,66667";"93,33333";"86,66667"
"2";"bupa";"40";"47,05882";"41,17647";"37,14286";"45,71429"
"3";"segment";"66,66667";"66,66667";"64,93506";"66,23377";"66,23377"
"4";"waveform-5000";"74,0519";"74,6";"74,6";"75";"74,4511"
"5";"phishingData";"91,95298";"91,95298";"91,95298";"91,68174";"91,86257"
"6";"mushroom";"90,65191";"90,76355";"90,39409";"91,25616";"91,50246"
"7";"pima";"63,63636";"67,53247";"62,33766";"62,33766";"64,93506"
"8";"vehicle";"32,94118";"25,88235";"34,11765";"35,29412";"31,76471"
"9";"wilt";"76,03306";"69,6281";"64,2562";"74,17355";"69,42149"
"10";"kr-vs-kp";"55,625";"68,125";"66,5625";"65,625";"69,375"
"11";"blood-transfusion-service";"64,86486";"64";"69,33333";"69,33333";"69,33333"
"12";"cnae-9";"12,03704";"11,11111";"16,66667";"15,74074";"11,11111"
"13";"connectionist-mines-vs-rocks";"52,38095";"42,85714";"52,38095";"54,54545";"42,85714"
"14";"flare";"33,09353";"29,71014";"35,97122";"24,46043";"24,46043"
"15";"indian-liver-patient";"43,10345";"47,45763";"44,82759";"43,10345";"43,10345"
"16";"leukemia-haslinger";"40";"66,66667";"70";"60";"70"
"17";"mammographic-mass";"69,79167";"73,19588";"73,95833";"72,91667";"75"
"18";"mfeat-karhunen";"83,5";"86";"88";"85,5";"88"
"19";"musk";"60,90909";"66,51515";"72,42424";"74,09091";"70,60606"
"20";"ozone-onehr";"67,98419";"66,40316";"57,70751";"58,66142";"61,26482"
"21";"pendigits";"74,13479";"75,77413";"78,07097";"82,65213";"76,11262"
"22";"planning-relax";"50";"44,44444";"50";"44,44444";"44,44444"
"23";"seeds";"66,66667";"80,95238";"80,95238";"80,95238";"80,95238"
"24";"semeion";"57,5";"67,92453";"70,70064";"69,62025";"71,25"
"25";"spectf-heart";"65,71429";"58,82353";"57,14286";"52,94118";"58,82353"
"26";"tic-tac-toe";"61,05263";"63,54167";"60,41667";"64,58333";"66,66667"
"27";"twonorm";"97,15832";"97,023";"97,15832";"97,15832";"97,15832"
"28";"hill-valley-with-noise";"45";"46,66667";"47,54098";"45";"43,33333"
"29";"balance-scale";"60,31746";"66,12903";"69,84127";"73,01587";"61,90476"
"30";"car";"69,54023";"69,54023";"69,36416";"70,11494";"70,34884"
