"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"73,33333";"73,33333";"80";"80"
"2";"bupa";"47,05882";"47,05882";"45,71429";"57,14286";"40"
"3";"segment";"82,25108";"82,68398";"85,28139";"89,17749";"88,31169"
"4";"waveform-5000";"65,26946";"67,33467";"70,34068";"71,05788";"72,34469"
"5";"phishingData";"89,24051";"90,76923";"91,41049";"91,9457";"92,0434"
"6";"mushroom";"98,52217";"99,26108";"99,38499";"99,38499";"99,75369"
"7";"pima";"64,93506";"64,93506";"67,53247";"63,63636";"59,21053"
"8";"vehicle";"35,29412";"49,41176";"49,41176";"56,47059";"54,11765"
"9";"wilt";"94,61698";"94,83471";"95,86777";"96,07438";"96,4876"
"10";"kr-vs-kp";"90,9375";"92,47649";"93,4375";"95,61129";"94,35737"
"11";"blood-transfusion-service";"65,33333";"76";"69,33333";"76";"69,33333"
"12";"cnae-9";"50,92593";"60,18519";"63,88889";"66,66667";"69,44444"
"13";"connectionist-mines-vs-rocks";"52,38095";"40";"52,38095";"47,61905";"50"
"14";"flare";"64,49275";"65,21739";"66,18705";"67,3913";"68,84058"
"15";"indian-liver-patient";"70,68966";"68,96552";"63,7931";"70,68966";"63,7931"
"16";"leukemia-haslinger";"44,44444";"27,27273";"66,66667";"40";"54,54545"
"17";"mammographic-mass";"61,85567";"66,66667";"75,25773";"70,83333";"76,84211"
"18";"mfeat-karhunen";"51,5";"56";"63,5";"66";"68,5"
"19";"musk";"95,15152";"97,42424";"98,18182";"98,48714";"98,63843"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"80,01817";"84,21533";"88,0109";"89,23358";"90,98361"
"22";"planning-relax";"68,42105";"50";"68,42105";"55,55556";"68,42105"
"23";"seeds";"33,33333";"66,66667";"76,19048";"61,90476";"80,95238"
"24";"semeion";"22,01258";"44,09938";"46,58385";"51,57233";"56,60377"
"25";"spectf-heart";"54,28571";"71,42857";"70,58824";"61,76471";"63,88889"
"26";"tic-tac-toe";"52,63158";"60,41667";"58,76289";"69,79167";"65,625"
"27";"twonorm";"73,74831";"76,21622";"77,16216";"79,75709";"77,7027"
"28";"hill-valley-with-noise";"41,32231";"43,80165";"43,80165";"42,14876";"45"
"29";"balance-scale";"49,20635";"50,79365";"57,14286";"65,07937";"60,31746"
"30";"car";"66,47399";"76,30058";"81,87135";"86,7052";"87,86127"
