"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"93,33333";"100";"100";"100";"100"
"2";"bupa";"60";"68,57143";"68,57143";"61,76471";"76,47059"
"3";"segment";"93,50649";"95,2381";"95,671";"96,5368";"96,1039"
"4";"waveform-5000";"81,0757";"79,64072";"81,6";"85,2";"84,86056"
"5";"phishingData";"92,22423";"93,30317";"93,94213";"94,48463";"95,02712"
"6";"mushroom";"84,50185";"90,02463";"86,57635";"84,50185";"84,50185"
"7";"pima";"75,32468";"77,92208";"74,02597";"79,22078";"83,11688"
"8";"vehicle";"55,95238";"64,70588";"64,70588";"67,05882";"70,58824"
"9";"wilt";"95,04132";"95,66116";"95,45455";"95,65217";"95,65217"
"10";"kr-vs-kp";"82,8125";"85,9375";"88,71473";"89,6875";"91,53605"
"11";"blood-transfusion-service";"80";"80";"80";"81,33333";"85,33333"
"12";"cnae-9";"57,40741";"72,22222";"82,40741";"77,77778";"79,62963"
"13";"connectionist-mines-vs-rocks";"66,66667";"77,27273";"85,71429";"80,95238";"90,90909"
"14";"flare";"67,3913";"72,14286";"74,63768";"74,63768";"74,82014"
"15";"indian-liver-patient";"77,9661";"79,31034";"77,58621";"76,27119";"77,9661"
"16";"leukemia-haslinger";"100";"100";"100";"100";"100"
"17";"mammographic-mass";"85,41667";"82,10526";"84,21053";"87,36842";"85,26316"
"18";"mfeat-karhunen";"88";"92,5";"95";"96";"98"
"19";"musk";"94,38543";"96,36364";"97,42424";"98,63636";"98,63636"
"20";"ozone-onehr";"97,24409";"97,62846";"97,62846";"97,2549";"97,24409"
"21";"pendigits";"97,36364";"98,2743";"99,00091";"99,09091";"99,18033"
"22";"planning-relax";"72,22222";"77,77778";"77,77778";"72,22222";"73,68421"
"23";"seeds";"100";"100";"100";"100";"100"
"24";"semeion";"84,27673";"84,375";"88,05031";"91,875";"90,56604"
"25";"spectf-heart";"75";"80";"80";"88,57143";"85,29412"
"26";"tic-tac-toe";"79,16667";"91,57895";"93,75";"91,57895";"91,66667"
"27";"twonorm";"98,24561";"98,24561";"98,51552";"98,11066";"98,51552"
"28";"hill-valley-with-noise";"59,83607";"57,85124";"59,83607";"59,01639";"55,7377"
"29";"balance-scale";"84,12698";"90,32258";"88,88889";"90,47619";"91,93548"
"30";"car";"76,43678";"77,19298";"79,19075";"79,76879";"79,76879"
