"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"73,33333";"100";"100";"93,33333";"100"
"2";"bupa";"62,85714";"61,76471";"77,14286";"76,47059";"77,14286"
"3";"segment";"85,28139";"86,14719";"90,47619";"93,07359";"94,80519"
"4";"waveform-5000";"73,45309";"76,6";"78,4";"79,04192";"80,36072"
"5";"phishingData";"93,03797";"93,7613";"93,67089";"94,84629";"95,38879"
"6";"mushroom";"90,4059";"85,11685";"85,09852";"84,97537";"83,14883"
"7";"pima";"83,11688";"83,11688";"85,71429";"85,71429";"79,22078"
"8";"vehicle";"54,7619";"61,17647";"64,28571";"67,05882";"65,88235"
"9";"wilt";"97,92961";"98,76289";"98,14433";"97,73196";"98,55072"
"10";"kr-vs-kp";"95,29781";"97,79874";"98,4375";"97,49216";"99,375"
"11";"blood-transfusion-service";"78,66667";"78,66667";"82,66667";"81,08108";"85,33333"
"12";"cnae-9";"56,48148";"68,51852";"75,92593";"85,18519";"84,25926"
"13";"connectionist-mines-vs-rocks";"85";"76,19048";"85,71429";"81,81818";"76,19048"
"14";"flare";"70";"65,95745";"70,92199";"71,01449";"72,66187"
"15";"indian-liver-patient";"74,13793";"74,57627";"74,57627";"79,31034";"74,13793"
"16";"leukemia-haslinger";"50";"70";"90,90909";"100";"80"
"17";"mammographic-mass";"83,50515";"89,69072";"88,54167";"88,65979";"88,65979"
"18";"mfeat-karhunen";"56";"70";"72,5";"77,5";"78,5"
"19";"musk";"94,25113";"96,66667";"96,81335";"97,12121";"98,3308"
"20";"ozone-onehr";"97,24409";"97,2332";"97,62846";"97,24409";"98,4252"
"21";"pendigits";"83,83288";"90,44586";"92,16044";"94,16591";"93,98359"
"22";"planning-relax";"77,77778";"73,68421";"72,22222";"72,22222";"72,22222"
"23";"seeds";"90,47619";"95,2381";"90,47619";"90,47619";"90,47619"
"24";"semeion";"36,875";"50,9434";"53,45912";"64,15094";"67,08861"
"25";"spectf-heart";"80";"82,85714";"82,35294";"86,11111";"85,71429"
"26";"tic-tac-toe";"71,57895";"78,125";"94,73684";"100";"98,95833"
"27";"twonorm";"86,08108";"89,59459";"89,32432";"90,12179";"90,2571"
"28";"hill-valley-with-noise";"54,09836";"54,09836";"55,83333";"56,19835";"57,37705"
"29";"balance-scale";"74,19355";"80,95238";"82,53968";"82,53968";"82,25806"
"30";"car";"78,03468";"77,58621";"81,50289";"82,65896";"83,81503"
