"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"62,85714";"68,57143";"58,82353";"58,82353";"58,82353"
"3";"segment";"83,11688";"81,81818";"80,51948";"77,48918";"78,78788"
"4";"waveform-5000";"79,75952";"79";"79,95992";"79,2";"79,4"
"5";"phishingData";"94,02715";"94,11765";"94,02715";"93,84615";"94,02715"
"6";"mushroom";"93,47291";"93,34975";"93,71921";"93,59606";"94,33498"
"7";"pima";"81,81818";"79,22078";"81,81818";"79,22078";"81,81818"
"8";"vehicle";"51,19048";"55,29412";"52,38095";"50";"46,42857"
"9";"wilt";"93,80165";"94,63918";"95,2381";"95,04132";"93,80165"
"10";"kr-vs-kp";"72,8125";"74,60815";"74,60815";"74,29467";"75,23511"
"11";"blood-transfusion-service";"77,33333";"79,72973";"78,66667";"78,37838";"77,02703"
"12";"cnae-9";"40,74074";"41,66667";"40,74074";"50,92593";"31,48148"
"13";"connectionist-mines-vs-rocks";"76,19048";"76,19048";"76,19048";"76,19048";"76,19048"
"14";"flare";"63,04348";"50";"63,04348";"62,0438";"57,44681"
"15";"indian-liver-patient";"56,89655";"69,49153";"56,89655";"61,01695";"58,62069"
"16";"leukemia-haslinger";"90";"100";"100";"100";"100"
"17";"mammographic-mass";"86,45833";"85,41667";"92,70833";"86,45833";"88,54167"
"18";"mfeat-karhunen";"89,5";"93,5";"96";"94,5";"95,5"
"19";"musk";"84,69697";"80,90909";"82,39757";"81,81818";"82,72727"
"20";"ozone-onehr";"92,91339";"77,0751";"72,94118";"74,90196";"74,11765"
"21";"pendigits";"85,06375";"85,9745";"86,09091";"86,72727";"84,81818"
"22";"planning-relax";"83,33333";"66,66667";"72,22222";"77,77778";"77,77778"
"23";"seeds";"100";"100";"100";"100";"100"
"24";"semeion";"71,69811";"77,8481";"79,87421";"83,01887";"83,125"
"25";"spectf-heart";"85,71429";"80,55556";"75";"80,55556";"77,77778"
"26";"tic-tac-toe";"71,13402";"74,2268";"76,84211";"76,84211";"75"
"27";"twonorm";"98,92038";"98,92038";"98,92038";"98,92038";"98,78543"
"28";"hill-valley-with-noise";"55,3719";"54,91803";"56,55738";"54,91803";"55,7377"
"29";"balance-scale";"76,66667";"74,19355";"85,71429";"82,53968";"88,70968"
"30";"car";"70,76023";"70,76023";"72,83237";"72,51462";"72,83237"
