"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"100";"93,33333";"100";"100"
"2";"bupa";"76,47059";"67,64706";"70,58824";"73,52941";"71,42857"
"3";"segment";"89,17749";"93,50649";"92,20779";"93,93939";"92,20779"
"4";"waveform-5000";"75,4";"73";"75,6";"74,4";"74,9499"
"5";"phishingData";"92,31465";"93,03797";"93,66516";"94,66063";"94,66546"
"6";"mushroom";"99,877";"100";"100";"100";"100"
"7";"pima";"77,92208";"72,72727";"79,22078";"80,51948";"79,22078"
"8";"vehicle";"58,13953";"62,35294";"68,23529";"72,28916";"70,58824"
"9";"wilt";"97,72727";"97,93388";"97,93388";"98,1405";"98,34711"
"10";"kr-vs-kp";"96,5625";"95,9375";"98,125";"98,4326";"98,75"
"11";"blood-transfusion-service";"77,02703";"77,33333";"77,02703";"81,33333";"81,33333"
"12";"cnae-9";"57,40741";"70,37037";"84,25926";"83,33333";"87,96296"
"13";"connectionist-mines-vs-rocks";"66,66667";"76,19048";"90,47619";"85,71429";"85,71429"
"14";"flare";"75,53957";"76,42857";"77,85714";"75";"76,08696"
"15";"indian-liver-patient";"72,41379";"74,57627";"72,41379";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"80";"100";"100";"80"
"17";"mammographic-mass";"87,5";"83,15789";"87,5";"87,5";"87,5"
"18";"mfeat-karhunen";"63,5";"67";"70,5";"73";"74,5"
"19";"musk";"98,78788";"99,39394";"99,39394";"100";"100"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"84,69945";"89,54545";"90";"91,64396";"93,81256"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"33,33333";"95,2381";"95,2381";"95,2381";"100"
"24";"semeion";"53,75";"54,375";"60,625";"62,73292";"65"
"25";"spectf-heart";"79,41176";"75";"76,47059";"88,23529";"86,11111"
"26";"tic-tac-toe";"68,75";"70,52632";"73,68421";"87,62887";"87,5"
"27";"twonorm";"80,51421";"81,89189";"81,37652";"82,32119";"83,4912"
"28";"hill-valley-with-noise";"58,19672";"56,19835";"60,65574";"61,15702";"60"
"29";"balance-scale";"74,19355";"76,19048";"73,01587";"82,53968";"77,77778"
"30";"car";"81,50289";"89,01734";"90,69767";"93,02326";"94,79769"
