"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"82,666666";"92,666666";"94,666665";"93,999999";"93,333333"
"2";"bupa";"56,512606";"55,058824";"53,537815";"51,016807";"58,613444"
"3";"segment";"87,316018";"90,259741";"91,861472";"92,597401";"93,766232"
"4";"waveform-5000";"77,698175";"77,238849";"78,778251";"80,737778";"80,778064"
"5";"phishingData";"90,067799";"91,822719";"92,898979";"93,903202";"94,156332"
"6";"mushroom";"82,926875";"83,432831";"83,653748";"83,308937";"83,296697"
"7";"pima";"69,788105";"70,553657";"69,393369";"71,876281";"72,778537"
"8";"vehicle";"48,365415";"56,039345";"58,041984";"62,185168";"60,629145"
"9";"wilt";"94,069093";"94,171757";"94,751083";"94,606539";"94,544555"
"10";"kr-vs-kp";"77,877742";"81,820925";"85,639695";"87,297218";"89,112068"
"11";"blood-transfusion-service";"76,736938";"75,807208";"75,007207";"75,536937";"76,875676"
"12";"cnae-9";"45,740741";"62,962964";"65";"68,981483";"70,74074"
"13";"connectionist-mines-vs-rocks";"57,192641";"69,036798";"65,367966";"65,816017";"75,900434"
"14";"flare";"63,867478";"65,87723";"68,903779";"67,397622";"70,569805"
"15";"indian-liver-patient";"69,30286";"69,639023";"68,975566";"70,15324";"68,957826"
"16";"leukemia-haslinger";"80,090909";"82,979798";"82,979798";"86,090909";"86,090909"
"17";"mammographic-mass";"77,635908";"77,630629";"77,634971";"78,151576";"76,702864"
"18";"mfeat-karhunen";"85,2";"89,05";"92,65";"93,15";"93,65"
"19";"musk";"92,816457";"94,983516";"96,196028";"97,317215";"97,256817"
"20";"ozone-onehr";"96,648539";"97,082549";"96,845705";"97,082391";"97,00396"
"21";"pendigits";"96,415371";"97,852804";"98,298756";"98,671474";"98,680773"
"22";"planning-relax";"70,906431";"70,906433";"70,906432";"68,68421";"69,210525"
"23";"seeds";"84,761907";"90,476193";"91,428573";"92,380954";"92,857144"
"24";"semeion";"72,766707";"79,032102";"83,755524";"85,318412";"86,439972"
"25";"spectf-heart";"70,453313";"70,444444";"67,365079";"71,90523";"72,780114"
"26";"tic-tac-toe";"72,866782";"82,58512";"84,55764";"86,747557";"87,999683"
"27";"twonorm";"97,459475";"97,500069";"97,486374";"97,500053";"97,432447"
"28";"hill-valley-with-noise";"52,887899";"50,474056";"49,422211";"51,983561";"50,821739"
"29";"balance-scale";"78,236045";"83,694317";"84,636456";"86,40041";"87,053249"
"30";"car";"72,571392";"72,924924";"73,033444";"74,24869";"76,21511"
