"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"57,999999";"80";"83,333332";"86,666667";"88,666668"
"2";"bupa";"55,64706";"56,546219";"59,672269";"60,361346";"66,34454"
"3";"segment";"76,277057";"81,428572";"86,103896";"88,787878";"89,69697"
"4";"waveform-5000";"68,018298";"71,839868";"75,137278";"76,359203";"77,85985"
"5";"phishingData";"91,089874";"92,347311";"92,600386";"93,143044";"93,043636"
"6";"mushroom";"83,491781";"81,806559";"83,28471";"82,287173";"81,880769"
"7";"pima";"71,614833";"72,134313";"73,566302";"73,438141";"73,43985"
"8";"vehicle";"44,20992";"50,592241";"57,918963";"58,752133";"63,356067"
"9";"wilt";"96,466297";"97,33394";"96,672653";"97,044682";"97,603004"
"10";"kr-vs-kp";"93,27232";"94,744999";"95,868524";"96,494702";"97,276737"
"11";"blood-transfusion-service";"75,266667";"74,205406";"75,801802";"75,935135";"76,464865"
"12";"cnae-9";"47,87037";"60,277779";"69,722222";"73,611111";"76,481482"
"13";"connectionist-mines-vs-rocks";"58,454546";"59,166668";"67,885282";"63,896104";"66,744589"
"14";"flare";"62,260028";"62,914818";"65,140564";"65,088296";"65,869231"
"15";"indian-liver-patient";"68,252485";"69,973699";"67,916424";"72,218002";"67,93688"
"16";"leukemia-haslinger";"48,989899";"48,919192";"66,979798";"70,737374";"65,232323"
"17";"mammographic-mass";"78,245885";"81,775921";"83,347148";"82,299973";"82,297896"
"18";"mfeat-karhunen";"47,95";"62,85";"65,55";"69,65";"72,95"
"19";"musk";"90,496364";"93,619071";"94,346759";"95,377727";"96,817122"
"20";"ozone-onehr";"96,924774";"95,82039";"96,963833";"96,451556";"96,924619"
"21";"pendigits";"80,493623";"86,562256";"89,019652";"91,112076";"92,549773"
"22";"planning-relax";"62,076022";"67,660817";"70,350875";"65,409356";"67,192981"
"23";"seeds";"71,904762";"80,476192";"82,857144";"82,380953";"81,428572"
"24";"semeion";"30,008898";"43,308249";"49,006862";"55,801285";"58,4475"
"25";"spectf-heart";"70,763771";"66,483658";"69,97199";"72,724557";"70,534549"
"26";"tic-tac-toe";"63,582452";"69,103398";"78,526666";"86,105263";"92,516956"
"27";"twonorm";"81,809501";"85,716754";"86,54055";"87,648623";"88,283776"
"28";"hill-valley-with-noise";"50,163934";"50,574414";"50,907757";"50,739002";"53,960259"
"29";"balance-scale";"66,258803";"68,012684";"72,472742";"73,883223";"73,916673"
"30";"car";"67,824421";"70,248538";"76,908357";"78,300991";"79,053122"
