"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"83,333333";"92";"95,999998";"95,333333";"93,333332"
"2";"bupa";"54,22689";"53,596638";"52,478992";"51,907564";"51,35294"
"3";"segment";"73,463203";"72,207791";"72,554112";"71,645022";"74,675325"
"4";"waveform-5000";"77,441124";"77,180684";"77,481046";"77,560967";"77,840967"
"5";"phishingData";"92,663962";"92,78148";"92,844843";"92,772484";"92,871943"
"6";"mushroom";"91,900352";"92,244998";"92,577403";"92,589933";"92,786733"
"7";"pima";"70,182843";"71,614833";"71,999316";"71,232058";"73,046822"
"8";"vehicle";"41,620449";"40,995798";"41,138656";"39,943978";"40,672268"
"9";"wilt";"91,217632";"93,862049";"93,139719";"92,456745";"93,036028"
"10";"kr-vs-kp";"69,400862";"69,556622";"70,996962";"71,652625";"73,060246"
"11";"blood-transfusion-service";"73,270271";"73,003604";"72,198199";"71,142343";"70,992794"
"12";"cnae-9";"19,999999";"28,703704";"24,259259";"27,314814";"20,648148"
"13";"connectionist-mines-vs-rocks";"54,738096";"64,428572";"58,190476";"60,07143";"62,452381"
"14";"flare";"44,350148";"40,450168";"40,392011";"38,777319";"41,309933"
"15";"indian-liver-patient";"50,423831";"53,329079";"51,815137";"51,830059";"49,596931"
"16";"leukemia-haslinger";"66";"76";"84";"86";"85"
"17";"mammographic-mass";"76,268742";"77,113979";"78,463804";"79,296087";"78,468146"
"18";"mfeat-karhunen";"85,3";"89,8";"89,7";"91,1";"90,85"
"19";"musk";"74,416409";"75,432736";"78,446996";"79,11511";"77,220365"
"20";"ozone-onehr";"81,113341";"67,272165";"65,571794";"66,399972";"66,677582"
"21";"pendigits";"81,60494";"81,053917";"81,449524";"82,923718";"83,113687"
"22";"planning-relax";"72,573098";"55,029241";"52,836257";"62,046784";"59,561404"
"23";"seeds";"88,09524";"87,61905";"89,52381";"88,571431";"90,476192"
"24";"semeion";"65,327668";"72,750587";"73,997362";"76,385113";"78,022756"
"25";"spectf-heart";"76,156864";"69,762374";"65,521942";"67,229693";"68,07143"
"26";"tic-tac-toe";"65,220178";"67,630357";"67,752895";"67,534873";"68,778385"
"27";"twonorm";"97,78362";"97,770087";"97,797133";"97,837674";"97,79717"
"28";"hill-valley-with-noise";"50,668632";"50,246535";"51,237626";"50,412535";"48,67361"
"29";"balance-scale";"64,374297";"67,682796";"72,1362";"72,479262";"77,162827"
"30";"car";"70,02447";"70,139743";"71,180886";"71,066971";"71,645342"
