"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"87,333334";"87,333333";"94,666666";"93,999999"
"2";"bupa";"57,697479";"57,436975";"55,714287";"61,47059";"61,176471"
"3";"segment";"84,112553";"88,614718";"89,350649";"90,389609";"90,56277"
"4";"waveform-5000";"67,939268";"69,699391";"71,860836";"72,181395";"72,040118"
"5";"phishingData";"90,881747";"91,921923";"92,844933";"93,432906";"93,396416"
"6";"mushroom";"99,286048";"99,532309";"99,802986";"99,741547";"99,876938"
"7";"pima";"69,008884";"69,270333";"68,345865";"72,913534";"71,467876"
"8";"vehicle";"45,760868";"54,236959";"56,629389";"61,740473";"63,345604"
"9";"wilt";"95,55712";"96,507874";"96,590479";"97,27217";"97,27234"
"10";"kr-vs-kp";"94,336795";"94,5866";"96,496276";"97,371766";"97,559854"
"11";"blood-transfusion-service";"75,938739";"74,32072";"75,266667";"76,472072";"76,607207"
"12";"cnae-9";"50,833335";"63,425924";"71,296296";"75,925925";"76,851851"
"13";"connectionist-mines-vs-rocks";"56,716449";"62,937231";"69,218615";"67,175326";"71,718616"
"14";"flare";"69,266179";"70,325298";"70,476384";"70,554054";"71,702087"
"15";"indian-liver-patient";"69,452459";"71,703323";"70,85002";"70,481302";"69,639792"
"16";"leukemia-haslinger";"48,989899";"64,121212";"70,737374";"70,363636";"57,939394"
"17";"mammographic-mass";"80,119778";"79,39719";"81,268969";"80,534251";"80,839144"
"18";"mfeat-karhunen";"55,6";"61,4";"67,75";"69,35";"71,15"
"19";"musk";"96,998989";"98,226605";"98,741918";"99,378578";"99,636179"
"20";"ozone-onehr";"97,121771";"97,121771";"97,121771";"97,121771";"96,884617"
"21";"pendigits";"81,905546";"86,817603";"88,218754";"90,110606";"91,311707"
"22";"planning-relax";"71,461986";"65,906432";"70,409355";"69,883039";"70,350875"
"23";"seeds";"33,33333";"82,380954";"82,380954";"85,238097";"85,238097"
"24";"semeion";"42,620156";"48,527833";"49,585143";"57,181813";"60,072522"
"25";"spectf-heart";"70,857141";"71,599905";"72,801119";"73,969653";"75,341735"
"26";"tic-tac-toe";"64,616906";"66,177281";"69,946035";"75,948905";"79,859842"
"27";"twonorm";"77,932755";"79,17629";"79,445724";"80,730093";"81,784659"
"28";"hill-valley-with-noise";"51,317571";"49,677561";"50,323137";"52,476616";"53,552557"
"29";"balance-scale";"62,534605";"69,440541";"66,068134";"72,010863";"71,833958"
"30";"car";"76,498697";"84,376156";"85,823606";"89,06028";"89,0015"
