"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"60";"66,66667";"86,66667";"86,66667";"80"
"2";"bupa";"52,94118";"41,17647";"40";"37,14286";"48,57143"
"3";"segment";"81,38528";"85,28139";"88,31169";"87,44589";"91,34199"
"4";"waveform-5000";"72,2";"74,8";"73,74749";"77,55511";"78,15631"
"5";"phishingData";"88,41629";"90,77758";"91,67421";"92,94756";"92,94118"
"6";"mushroom";"80,76449";"79,08979";"81,54982";"81,54982";"81,54982"
"7";"pima";"64,47368";"59,21053";"61,03896";"67,53247";"61,84211"
"8";"vehicle";"41,17647";"43,52941";"46,42857";"54,11765";"54,11765"
"9";"wilt";"89,66942";"91,30435";"94,00826";"93,38843";"92,97521"
"10";"kr-vs-kp";"70,84639";"78,99687";"82,1875";"85,3125";"87,8125"
"11";"blood-transfusion-service";"68";"69,33333";"69,33333";"69,33333";"66,66667"
"12";"cnae-9";"24,07407";"55,55556";"55,55556";"57,40741";"56,48148"
"13";"connectionist-mines-vs-rocks";"38,09524";"55";"47,61905";"52,38095";"66,66667"
"14";"flare";"59,28571";"58,99281";"64,7482";"62,58993";"64,53901"
"15";"indian-liver-patient";"64,40678";"46,55172";"61,01695";"58,62069";"57,62712"
"16";"leukemia-haslinger";"50";"50";"50";"70";"60"
"17";"mammographic-mass";"70,83333";"70,83333";"71,875";"69,79167";"68,75"
"18";"mfeat-karhunen";"80,5";"85";"90,5";"89,5";"91"
"19";"musk";"91,66667";"92,72727";"95";"95,75758";"96,36364"
"20";"ozone-onehr";"95,65217";"96,44269";"96,44269";"96,47059";"96,07843"
"21";"pendigits";"95,44627";"97,08295";"97,63421";"98,08743";"98,08743"
"22";"planning-relax";"66,66667";"55,55556";"66,66667";"61,11111";"55,55556"
"23";"seeds";"71,42857";"85,71429";"76,19048";"80,95238";"85,71429"
"24";"semeion";"63,125";"74,84277";"78,61635";"80";"81,13208"
"25";"spectf-heart";"60";"52,94118";"52,77778";"44,11765";"52,94118"
"26";"tic-tac-toe";"65,625";"71,875";"78,35052";"80,20833";"84,375"
"27";"twonorm";"97,02703";"96,76113";"96,88769";"96,76113";"96,62162"
"28";"hill-valley-with-noise";"47,10744";"43,33333";"35,53719";"44,2623";"45,45455"
"29";"balance-scale";"74,19355";"79,03226";"77,41935";"82,25806";"80,95238"
"30";"car";"69,9422";"69,54023";"69,9422";"70,52023";"73,83721"
