"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"66,66667";"66,66667";"80";"80"
"2";"bupa";"45,71429";"45,71429";"42,85714";"40";"52,94118"
"3";"segment";"65,80087";"76,19048";"81,81818";"82,68398";"85,28139"
"4";"waveform-5000";"66,06786";"67,46507";"70,14028";"72,54509";"74,6507"
"5";"phishingData";"89,04977";"91,13924";"91,58371";"91,40271";"91,13122"
"6";"mushroom";"76,60099";"78,07882";"80,81181";"80,81181";"80,81181"
"7";"pima";"57,14286";"66,23377";"68,83117";"64,93506";"63,63636"
"8";"vehicle";"33,33333";"39,28571";"50,58824";"51,16279";"59,52381"
"9";"wilt";"93,59504";"96,4876";"95,66116";"96,28099";"96,4876"
"10";"kr-vs-kp";"90,625";"92,47649";"93,10345";"93,73041";"94,98433"
"11";"blood-transfusion-service";"68";"62,66667";"69,33333";"70,27027";"71,62162"
"12";"cnae-9";"36,11111";"49,07407";"58,33333";"64,81481";"67,59259"
"13";"connectionist-mines-vs-rocks";"38,09524";"40";"57,14286";"42,85714";"55"
"14";"flare";"52,17391";"57,24638";"60,14493";"60";"60,14493"
"15";"indian-liver-patient";"56,89655";"62,06897";"58,62069";"64,40678";"61,01695"
"16";"leukemia-haslinger";"44,44444";"10";"40";"40";"40"
"17";"mammographic-mass";"70,52632";"76,04167";"77,89474";"75,78947";"76,04167"
"18";"mfeat-karhunen";"37";"57,5";"57";"65";"69"
"19";"musk";"85,73596";"91,9697";"91,36364";"94,09091";"95,15152"
"20";"ozone-onehr";"95,66929";"94,86166";"96,06299";"94,48819";"95,66929"
"21";"pendigits";"75,59199";"84,59435";"86,80619";"89";"91"
"22";"planning-relax";"33,33333";"47,36842";"61,11111";"55,55556";"52,63158"
"23";"seeds";"61,90476";"66,66667";"66,66667";"71,42857";"66,66667"
"24";"semeion";"22,64151";"35,84906";"40,76433";"50,31847";"49,68553"
"25";"spectf-heart";"57,14286";"55,88235";"55,55556";"62,85714";"63,88889"
"26";"tic-tac-toe";"55,20833";"53,125";"65,97938";"72,63158";"73,19588"
"27";"twonorm";"77,67253";"82,99595";"85,40541";"85,40541";"86,48649"
"28";"hill-valley-with-noise";"47,54098";"45,83333";"45,83333";"45";"50"
"29";"balance-scale";"46,03175";"61,90476";"65,07937";"62,29508";"60,31746"
"30";"car";"60,11561";"65,69767";"72,25434";"71,26437";"73,56322"
