"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"80";"93,33333";"86,66667";"86,66667"
"2";"bupa";"42,85714";"41,17647";"45,71429";"45,71429";"40"
"3";"segment";"67,09957";"65,36797";"67,09957";"66,66667";"68,39827"
"4";"waveform-5000";"74,8";"75,89641";"76";"76,09562";"76,44711"
"5";"phishingData";"91,41049";"91,5009";"92,0434";"91,77215";"91,68174"
"6";"mushroom";"90,8867";"90,76355";"91,49199";"91,63592";"91,61529"
"7";"pima";"58,44156";"66,23377";"63,63636";"62,33766";"66,23377"
"8";"vehicle";"35,29412";"30,95238";"32,14286";"32,14286";"36,47059"
"9";"wilt";"77,27273";"93,18182";"91,94215";"89,85507";"91,94215"
"10";"kr-vs-kp";"64,6875";"65,51724";"63,75";"67,5";"68,75"
"11";"blood-transfusion-service";"68";"64";"60";"61,33333";"62,66667"
"12";"cnae-9";"11,11111";"18,51852";"12,03704";"11,11111";"12,03704"
"13";"connectionist-mines-vs-rocks";"38,09524";"52,38095";"42,85714";"47,61905";"50"
"14";"flare";"29,28571";"30,93525";"25,89928";"18,24818";"30,21583"
"15";"indian-liver-patient";"41,37931";"44,82759";"45,76271";"40,67797";"40,67797"
"16";"leukemia-haslinger";"50";"40";"70";"70";"70"
"17";"mammographic-mass";"61,45833";"70,83333";"70,83333";"71,875";"71,875"
"18";"mfeat-karhunen";"80,5";"85,5";"86";"88";"88,5"
"19";"musk";"62,06373";"68,13354";"72,68589";"75,60606";"70,75758"
"20";"ozone-onehr";"67,32283";"61,02362";"58,10277";"58,66142";"60,62992"
"21";"pendigits";"75,36364";"76,40653";"75,95628";"76,59381";"77,77778"
"22";"planning-relax";"66,66667";"36,84211";"27,77778";"44,44444";"31,57895"
"23";"seeds";"71,42857";"76,19048";"76,19048";"80,95238";"80,95238"
"24";"semeion";"58,22785";"65,40881";"67,08861";"70,44025";"71,06918"
"25";"spectf-heart";"70,58824";"61,76471";"52,94118";"52,94118";"58,82353"
"26";"tic-tac-toe";"58,94737";"61,45833";"58,94737";"57,29167";"62,10526"
"27";"twonorm";"96,75676";"96,75676";"96,75676";"96,75676";"96,75676"
"28";"hill-valley-with-noise";"45,08197";"44,2623";"45,08197";"45,45455";"44,6281"
"29";"balance-scale";"49,20635";"60,31746";"61,29032";"61,90476";"63,49206"
"30";"car";"69,54023";"69,36416";"69,9422";"69,9422";"70,52023"
