"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"73,33333";"80";"86,66667";"86,66667"
"2";"bupa";"38,23529";"42,85714";"31,42857";"51,42857";"54,28571"
"3";"segment";"81,38528";"83,54978";"81,81818";"84,84848";"89,17749"
"4";"waveform-5000";"60,6";"64";"68,46307";"69,4";"65,6"
"5";"phishingData";"88,59729";"90,13575";"91,5009";"92,39819";"92,1267"
"6";"mushroom";"98,64699";"99,01599";"99,50678";"99,01599";"99,26199"
"7";"pima";"64,93506";"64,93506";"52,63158";"68,83117";"56,57895"
"8";"vehicle";"25,88235";"45,78313";"47,05882";"51,16279";"55,95238"
"9";"wilt";"94,43299";"94,83471";"95,86777";"96,07438";"96,07438"
"10";"kr-vs-kp";"92,5";"93,10345";"93,125";"96,23824";"95,92476"
"11";"blood-transfusion-service";"73,33333";"67,56757";"70,66667";"72";"73,33333"
"12";"cnae-9";"41,66667";"54,62963";"59,25926";"66,66667";"69,44444"
"13";"connectionist-mines-vs-rocks";"52,38095";"45";"50";"45";"59,09091"
"14";"flare";"60,71429";"62,58993";"63,04348";"65";"68,61314"
"15";"indian-liver-patient";"59,64912";"69,49153";"66,10169";"63,15789";"61,01695"
"16";"leukemia-haslinger";"44,44444";"50";"50";"50";"20"
"17";"mammographic-mass";"75";"70,83333";"76,04167";"73,95833";"70,52632"
"18";"mfeat-karhunen";"44,5";"57,5";"63";"64,5";"66,5"
"19";"musk";"95,45455";"96,66667";"97,57208";"98,48485";"99,24242"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"94,86166"
"21";"pendigits";"78,07097";"83,71247";"87";"87,89809";"88,62602"
"22";"planning-relax";"68,42105";"38,88889";"57,89474";"52,63158";"61,11111"
"23";"seeds";"33,33333";"71,42857";"66,66667";"76,19048";"76,19048"
"24";"semeion";"34,59119";"44,09938";"39,87342";"51,25";"51,57233"
"25";"spectf-heart";"55,55556";"58,82353";"68,57143";"65,71429";"67,64706"
"26";"tic-tac-toe";"52,08333";"63,15789";"65,625";"61,05263";"67,70833"
"27";"twonorm";"74,59459";"75,97841";"77,05803";"78,54251";"80,16194"
"28";"hill-valley-with-noise";"46,66667";"43,44262";"45,90164";"44,2623";"47,93388"
"29";"balance-scale";"50,81967";"61,90476";"60,65574";"64,51613";"63,49206"
"30";"car";"70,34884";"80,34682";"83,23699";"83,13953";"84,9711"
