"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"65,71429";"70,58824";"68,57143";"70,58824";"70,58824"
"3";"segment";"90,47619";"95,2381";"94,37229";"95,671";"96,1039"
"4";"waveform-5000";"79,8";"83,4";"83,16633";"82,63473";"83,96794"
"5";"phishingData";"92,13382";"93,30317";"94,03255";"94,84629";"95,93128"
"6";"mushroom";"91,38991";"84,99385";"84,99385";"84,87085";"84,99385"
"7";"pima";"69,73684";"75,32468";"72,72727";"80,26316";"75"
"8";"vehicle";"60,97561";"67,07317";"64,70588";"67,05882";"69,76744"
"9";"wilt";"95,24793";"95,24793";"95,04132";"95,24793";"95,04132"
"10";"kr-vs-kp";"83,125";"88,08777";"88,75";"92,47649";"90,9375"
"11";"blood-transfusion-service";"80";"80";"81,33333";"85,33333";"82,66667"
"12";"cnae-9";"68,51852";"72,22222";"76,85185";"78,7037";"79,62963"
"13";"connectionist-mines-vs-rocks";"76,19048";"85";"85,71429";"85";"85"
"14";"flare";"71,01449";"75,18248";"71,01449";"73,18841";"74,28571"
"15";"indian-liver-patient";"74,13793";"71,92982";"76,27119";"74,13793";"76,27119"
"16";"leukemia-haslinger";"100";"90";"100";"100";"90"
"17";"mammographic-mass";"85,41667";"82,29167";"90,625";"90,625";"89,58333"
"18";"mfeat-karhunen";"93";"96,5";"94";"95,5";"95,5"
"19";"musk";"95,60606";"97,57208";"97,87879";"97,72727";"98,48485"
"20";"ozone-onehr";"97,24409";"97,24409";"97,6378";"97,24409";"97,24409"
"21";"pendigits";"98,27586";"98,99818";"98,99818";"99,45554";"99,45504"
"22";"planning-relax";"88,88889";"77,77778";"77,77778";"77,77778";"72,22222"
"23";"seeds";"100";"100";"100";"100";"100"
"24";"semeion";"85,53459";"83,5443";"87,42138";"89,30818";"90,56604"
"25";"spectf-heart";"76,47059";"77,77778";"79,41176";"80";"85,29412"
"26";"tic-tac-toe";"84,375";"87,5";"90,625";"93,75";"91,57895"
"27";"twonorm";"98,5115";"98,5115";"98,5115";"98,37618";"98,37838"
"28";"hill-valley-with-noise";"60,83333";"58,33333";"55";"56,55738";"59,16667"
"29";"balance-scale";"80,64516";"90,47619";"90,32258";"92,06349";"90,47619"
"30";"car";"75,14451";"76,43678";"78,48837";"81,97674";"76,74419"
