"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"73,33333";"93,33333";"93,33333";"100";"93,33333"
"2";"bupa";"67,64706";"79,41176";"82,85714";"74,28571";"80"
"3";"segment";"79,22078";"89,61039";"88,31169";"92,20779";"96,1039"
"4";"waveform-5000";"74";"78,8";"77,15431";"81,56313";"81,23752"
"5";"phishingData";"93,03797";"94,29864";"93,39367";"94,39421";"95,29412"
"6";"mushroom";"90,8867";"85,34483";"88,31488";"83,14883";"85,83744"
"7";"pima";"75,32468";"76,62338";"81,81818";"81,81818";"77,92208"
"8";"vehicle";"51,19048";"64,70588";"66,27907";"69,41176";"70,93023"
"9";"wilt";"96,89441";"98,13665";"98,55072";"97,93388";"98,1405"
"10";"kr-vs-kp";"95,91195";"98,125";"97,49216";"98,42767";"98,74214"
"11";"blood-transfusion-service";"78,66667";"78,66667";"84";"84";"80"
"12";"cnae-9";"58,33333";"69,44444";"78,7037";"79,62963";"83,33333"
"13";"connectionist-mines-vs-rocks";"80";"76,19048";"80";"80,95238";"80,95238"
"14";"flare";"70,71429";"68,84058";"67,6259";"69,06475";"73,38129"
"15";"indian-liver-patient";"73,68421";"77,9661";"74,57627";"76,27119";"79,31034"
"16";"leukemia-haslinger";"50";"81,81818";"90";"90";"90"
"17";"mammographic-mass";"86,45833";"87,5";"88,65979";"88,54167";"87,62887"
"18";"mfeat-karhunen";"56";"69";"71";"76";"75,5"
"19";"musk";"93,18182";"96,20637";"96,21212";"97,72727";"98,63429"
"20";"ozone-onehr";"97,24409";"97,62846";"97,62846";"97,62846";"97,24409"
"21";"pendigits";"83,69763";"88,25137";"91,09091";"92,99363";"94,2623"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"72,22222"
"23";"seeds";"90,47619";"90,47619";"100";"100";"100"
"24";"semeion";"42,85714";"50,625";"56,6879";"62,42038";"60,86957"
"25";"spectf-heart";"77,77778";"79,41176";"80";"94,11765";"80"
"26";"tic-tac-toe";"71,57895";"84,21053";"97,91667";"97,91667";"100"
"27";"twonorm";"86,33288";"89,59459";"88,39406";"90,54054";"90,54054"
"28";"hill-valley-with-noise";"53,27869";"58,67769";"63,63636";"57,85124";"54,91803"
"29";"balance-scale";"71,42857";"83,87097";"85,48387";"85,71429";"85,48387"
"30";"car";"77,32558";"76,87861";"79,19075";"79,19075";"86,12717"
