"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"65,71429";"58,82353";"61,76471";"55,88235";"61,76471"
"3";"segment";"74,89177";"74,89177";"76,19048";"79,22078";"76,62338"
"4";"waveform-5000";"79,35872";"79,8";"79,6";"79,8";"80"
"5";"phishingData";"94,12297";"94,03255";"93,94213";"94,3038";"94,03255"
"6";"mushroom";"93,96552";"93,84236";"93,96552";"93,11193";"93,47291"
"7";"pima";"77,92208";"77,63158";"80,51948";"81,81818";"80,51948"
"8";"vehicle";"54,11765";"48,23529";"48,80952";"49,41176";"53,57143"
"9";"wilt";"94,6281";"94,42149";"94,6281";"94,42149";"93,59504"
"10";"kr-vs-kp";"75,3125";"78,05643";"74,5283";"80,3125";"79,6875"
"11";"blood-transfusion-service";"78,66667";"81,33333";"78,66667";"78,66667";"78,66667"
"12";"cnae-9";"45,37037";"33,33333";"32,40741";"40,74074";"46,2963"
"13";"connectionist-mines-vs-rocks";"80,95238";"85,71429";"76,19048";"85,71429";"76,19048"
"14";"flare";"48,90511";"55,39568";"51,09489";"60,43165";"50"
"15";"indian-liver-patient";"60,34483";"64,40678";"59,32203";"67,79661";"61,01695"
"16";"leukemia-haslinger";"90";"90";"100";"100";"100"
"17";"mammographic-mass";"82,29167";"82,29167";"84,375";"84,375";"85,41667"
"18";"mfeat-karhunen";"89";"91,5";"94,5";"95";"96,5"
"19";"musk";"83,18182";"80,75758";"83,78788";"83,18182";"80"
"20";"ozone-onehr";"88,53755";"76,28458";"74,01575";"72,15686";"72,15686"
"21";"pendigits";"84,80437";"84,48905";"86,27273";"87,36364";"85,62329"
"22";"planning-relax";"77,77778";"77,77778";"83,33333";"72,22222";"72,22222"
"23";"seeds";"95,2381";"100";"100";"100";"100"
"24";"semeion";"78,61635";"79,24528";"79,74684";"83,01887";"81,13208"
"25";"spectf-heart";"85,71429";"82,35294";"82,35294";"79,41176";"74,28571"
"26";"tic-tac-toe";"72,63158";"70,83333";"69,79167";"75,78947";"71,875"
"27";"twonorm";"98,78378";"98,78378";"98,78378";"98,78378";"98,78378"
"28";"hill-valley-with-noise";"57,02479";"56,55738";"54,91803";"56,55738";"54,91803"
"29";"balance-scale";"78,68852";"85,48387";"77,41935";"82,25806";"87,30159"
"30";"car";"70,34884";"71,09827";"71,09827";"72,09302";"72,83237"
