"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"100";"100";"100";"100"
"2";"bupa";"58,82353";"65,71429";"60";"73,52941";"74,28571"
"3";"segment";"87,87879";"90,47619";"94,37229";"93,07359";"94,37229"
"4";"waveform-5000";"72,2";"75,3507";"75,8";"76,6";"78,55711"
"5";"phishingData";"92,57919";"93,65942";"93,66516";"94,3038";"94,75588"
"6";"mushroom";"100";"100";"100";"100";"100"
"7";"pima";"76,62338";"77,92208";"79,22078";"79,22078";"79,22078"
"8";"vehicle";"63,52941";"65,88235";"71,76471";"67,05882";"72,94118"
"9";"wilt";"97,31405";"97,93388";"97,52066";"98,55372";"97,93388"
"10";"kr-vs-kp";"94,67085";"95,9375";"97,8125";"98,125";"99,05956"
"11";"blood-transfusion-service";"77,02703";"78,66667";"80";"80";"81,33333"
"12";"cnae-9";"70,37037";"77,77778";"78,7037";"78,7037";"85,18519"
"13";"connectionist-mines-vs-rocks";"76,19048";"71,42857";"71,42857";"71,42857";"90,90909"
"14";"flare";"76,47059";"78,41727";"76,47059";"73,52941";"76,47059"
"15";"indian-liver-patient";"72,41379";"72,41379";"77,58621";"72,41379";"77,58621"
"16";"leukemia-haslinger";"50";"77,77778";"90";"90";"88,88889"
"17";"mammographic-mass";"84,375";"86,45833";"87,5";"86,45833";"86,45833"
"18";"mfeat-karhunen";"61,5";"68,5";"72";"77,5";"73"
"19";"musk";"98,33333";"99,09091";"99,39394";"100";"100"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"84,28701";"89,00999";"89,53594";"92,25865";"92,44768"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"77,77778";"72,22222"
"23";"seeds";"33,33333";"95,2381";"95,2381";"90,47619";"95,2381"
"24";"semeion";"46,58385";"57,59494";"61,39241";"65,40881";"67,5"
"25";"spectf-heart";"79,41176";"73,52941";"80,55556";"77,77778";"91,17647"
"26";"tic-tac-toe";"76,28866";"77,89474";"78,35052";"84,375";"87,36842"
"27";"twonorm";"79,29635";"81,64642";"83,94062";"82,83784";"85,27027"
"28";"hill-valley-with-noise";"63,63636";"56,66667";"59,01639";"60,33058";"63,63636"
"29";"balance-scale";"68,25397";"76,19048";"77,04918";"77,77778";"80,32787"
"30";"car";"90,17341";"86,78161";"94,82759";"91,95402";"94,79769"
