"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"89,333333";"94,000001";"92,666667";"95,999999";"93,333332"
"2";"bupa";"55,319329";"55,126051";"58,823529";"56,537815";"59,100841"
"3";"segment";"87,012987";"90,08658";"91,428569";"92,207791";"93,290041"
"4";"waveform-5000";"75,599839";"78,580367";"79,420928";"80,039489";"80,421169"
"5";"phishingData";"90,529084";"92,085155";"92,419342";"93,586744";"94,237829"
"6";"mushroom";"83,787846";"83,259395";"82,73008";"83,222465";"83,210118"
"7";"pima";"66,021872";"69,135338";"69,275461";"69,1473";"70,316131"
"8";"vehicle";"49,093456";"57,598335";"56,806577";"60,32603";"60,374811"
"9";"wilt";"93,759087";"94,627069";"94,316765";"94,50293";"94,337855"
"10";"kr-vs-kp";"78,785462";"82,792221";"85,45239";"87,61011";"88,798393"
"11";"blood-transfusion-service";"74,324326";"75,807207";"76,475676";"77,001802";"77,263064"
"12";"cnae-9";"51,666668";"62,222221";"66,574073";"73,148147";"70,925924"
"13";"connectionist-mines-vs-rocks";"59,261905";"59,264068";"64,841992";"73,155845";"71,175326"
"14";"flare";"66,014759";"66,468387";"68,035585";"68,984369";"69,190879"
"15";"indian-liver-patient";"68,59808";"68,116419";"69,151006";"68,773416";"68,613204"
"16";"leukemia-haslinger";"80";"83";"81";"85";"80"
"17";"mammographic-mass";"77,62837";"76,895935";"77,940935";"79,614092";"78,575647"
"18";"mfeat-karhunen";"85,4";"89,9";"92,95";"92,5";"93,7"
"19";"musk";"93,604332";"95,317193";"95,710901";"96,726488";"97,438451"
"20";"ozone-onehr";"96,49077";"96,924618";"96,923997";"97,082254";"97,042573"
"21";"pendigits";"96,415081";"97,907855";"98,243898";"98,616955";"98,844666"
"22";"planning-relax";"67,602338";"68,216374";"67,134504";"67,017543";"69,795321"
"23";"seeds";"89,04762";"91,428574";"93,333335";"91,904764";"91,904763"
"24";"semeion";"75,326222";"81,297288";"83,173863";"86,063841";"86,692791"
"25";"spectf-heart";"67,422502";"66,124651";"69,12325";"72,513071";"71,718955"
"26";"tic-tac-toe";"75,043386";"84,23431";"86,535914";"90,295781";"88,095169"
"27";"twonorm";"97,513839";"97,405659";"97,419173";"97,446253";"97,527279"
"28";"hill-valley-with-noise";"51,982205";"51,009563";"50,018403";"51,329213";"52,651651"
"29";"balance-scale";"75,829494";"85,099845";"86,569381";"86,075267";"86,71787"
"30";"car";"71,762074";"72,978331";"75,058961";"75,00986";"74,711145"
