"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"50,666665";"75,333333";"83,333331";"87,333332";"85,333331"
"2";"bupa";"49,268908";"58,588235";"63,470588";"59,697479";"66,058824"
"3";"segment";"72,987012";"81,774891";"85,194807";"87,87879";"90,562771"
"4";"waveform-5000";"68,016227";"73,018437";"74,719481";"76,319524";"76,819726"
"5";"phishingData";"91,261903";"92,274945";"92,401717";"93,007436";"93,243066"
"6";"mushroom";"84,317973";"82,275807";"83,30882";"81,880944";"82,928274"
"7";"pima";"67,436775";"67,718729";"72,908407";"71,758372";"72,019823"
"8";"vehicle";"44,223492";"50,083628";"55,660389";"60,768274";"57,778303"
"9";"wilt";"96,011793";"97,044597";"97,148414";"97,478823";"97,396222"
"10";"kr-vs-kp";"92,33473";"94,743133";"96,090021";"96,372155";"97,497842"
"11";"blood-transfusion-service";"76,468469";"74,472074";"75,273874";"76,201802";"76,603605"
"12";"cnae-9";"49,351852";"65,555554";"71,203703";"74,629631";"75,092591"
"13";"connectionist-mines-vs-rocks";"61,668831";"57,692642";"67,863636";"67,227273";"69,272727"
"14";"flare";"59,456298";"62,77522";"61,320217";"64,353484";"65,728716"
"15";"indian-liver-patient";"64,784983";"68,093707";"69,128703";"69,975647";"71,016589"
"16";"leukemia-haslinger";"48,989899";"58,626262";"61,212122";"64,050505";"73,939394"
"17";"mammographic-mass";"78,984988";"81,580564";"81,787914";"83,136689";"81,263792"
"18";"mfeat-karhunen";"44,65";"63,3";"65,8";"71,65";"72,65"
"19";"musk";"89,708761";"93,452978";"94,528761";"96,135279";"96,802132"
"20";"ozone-onehr";"96,333748";"96,689624";"96,767286";"96,60918";"96,332968"
"21";"pendigits";"80,876713";"87,118323";"89,23807";"91,511805";"92,704221"
"22";"planning-relax";"67,660818";"57,076022";"71,461986";"67,076023";"71,461986"
"23";"seeds";"74,761906";"71,904762";"80,000001";"83,809525";"83,333334"
"24";"semeion";"34,129286";"42,125805";"51,412937";"54,767992";"56,740906"
"25";"spectf-heart";"72,206349";"66,532213";"67,5845";"75,970122";"73,650793"
"26";"tic-tac-toe";"64,931204";"70,670488";"82,878912";"92,286919";"91,31346"
"27";"twonorm";"82,109137";"85,958461";"85,851014";"87,56745";"87,891591"
"28";"hill-valley-with-noise";"48,9229";"50,404394";"50,91451";"50,827169";"49,418811"
"29";"balance-scale";"59,959037";"69,283155";"74,252432";"76,635944";"75,522274"
"30";"car";"68,523794";"74,131758";"75,462918";"76,216391";"79,859398"
