"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"82,666667";"88";"91,333332";"93,999998";"95,999999"
"2";"bupa";"54,184874";"49,596639";"50,159664";"46,672269";"52,210084"
"3";"segment";"69,004329";"71,55844";"70,649351";"71,688311";"71,558441"
"4";"waveform-5000";"76,940925";"77,240284";"77,620327";"77,720847";"77,760608"
"5";"phishingData";"92,700153";"92,772617";"92,754518";"92,736434";"92,817801"
"6";"mushroom";"92,109744";"92,405355";"92,589948";"92,626713";"92,712995"
"7";"pima";"69,658236";"72,136023";"70,575871";"72,007862";"70,179425"
"8";"vehicle";"42,183472";"38,651261";"38,551822";"39,826331";"42,669466"
"9";"wilt";"92,870397";"93,098054";"93,097798";"93,118632";"92,333251"
"10";"kr-vs-kp";"70,653751";"71,157084";"71,310784";"72,154242";"73,124168"
"11";"blood-transfusion-service";"69,239639";"74,603604";"69,374776";"72,735134";"73,803604"
"12";"cnae-9";"20,833333";"21,018518";"25,000002";"28,148148";"25,555556"
"13";"connectionist-mines-vs-rocks";"58,642858";"61,428572";"61,000001";"63,809525";"56,714286"
"14";"flare";"39,330243";"41,53471";"41,519964";"37,002635";"38,942747"
"15";"indian-liver-patient";"49,370996";"53,340563";"52,493309";"52,81445";"53,358198"
"16";"leukemia-haslinger";"66,050505";"81,050505";"84,959596";"87,181818";"85,070707"
"17";"mammographic-mass";"77,415717";"77,514447";"78,24037";"79,183328";"79,287562"
"18";"mfeat-karhunen";"85,75";"89,15";"90,55";"90,75";"90,7"
"19";"musk";"74,59752";"77,189373";"75,781314";"78,812126";"76,431173"
"20";"ozone-onehr";"79,889921";"67,232172";"66,79382";"65,84458";"66,241082"
"21";"pendigits";"81,834038";"80,386565";"81,26711";"83,306372";"81,630756"
"22";"planning-relax";"71,461987";"63,859649";"61,608189";"59,356724";"63,245615"
"23";"seeds";"85,238097";"88,09524";"89,04762";"88,571431";"88,571431"
"24";"semeion";"59,675114";"74,515732";"74,953669";"77,025966";"77,405291"
"25";"spectf-heart";"75,407562";"71,144724";"70,246032";"65,396359";"67,069094"
"26";"tic-tac-toe";"68,802281";"65,346095";"65,866906";"67,661704";"68,470089"
"27";"twonorm";"97,851313";"97,810846";"97,837835";"97,837908";"97,837853"
"28";"hill-valley-with-noise";"49,425472";"50,818317";"50,251422";"49,177699";"48,508976"
"29";"balance-scale";"63,716266";"71,214315";"70,873813";"74,91459";"80,311249"
"30";"car";"70,023995";"70,313347";"70,313012";"71,470438";"71,759453"
