"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"87,333335";"91,999999";"93,333333";"92"
"2";"bupa";"57,39496";"58,537817";"58,260505";"60,84874";"60,907565"
"3";"segment";"84,632038";"86,796536";"88,787879";"90,47619";"91,42857"
"4";"waveform-5000";"69,179445";"70,522529";"71,88137";"72,281612";"72,380892"
"5";"phishingData";"91,216842";"92,410879";"92,872058";"92,727254";"93,450908"
"6";"mushroom";"99,409229";"99,421454";"99,642949";"99,778477";"99,815302"
"7";"pima";"66,660968";"70,317839";"72,65892";"72,65892";"72,787081"
"8";"vehicle";"45,41745";"56,996186";"59,931762";"62,627501";"62,884142"
"9";"wilt";"95,949729";"96,569733";"96,631589";"97,706099";"96,900099"
"10";"kr-vs-kp";"93,64861";"94,681622";"96,370394";"96,777428";"97,434071"
"11";"blood-transfusion-service";"72,738739";"76,205407";"76,605406";"75,8";"76,738739"
"12";"cnae-9";"51,388889";"67,5";"69,537036";"73,518518";"78,24074"
"13";"connectionist-mines-vs-rocks";"59,145021";"59,093075";"60,506494";"61,101731";"69,471861"
"14";"flare";"70,705115";"71,198436";"72,059275";"70,848893";"71,704255"
"15";"indian-liver-patient";"69,83179";"70,150318";"71,19649";"70,495145";"71,190645"
"16";"leukemia-haslinger";"48,989899";"62,141414";"69,848485";"64,121212";"67,343434"
"17";"mammographic-mass";"77,73743";"81,380199";"82,936302";"80,131273";"80,647788"
"18";"mfeat-karhunen";"54,95";"62,9";"66,7";"68,75";"70,75"
"19";"musk";"96,998943";"98,150939";"98,772289";"99,348208";"99,54536"
"20";"ozone-onehr";"97,121624";"97,121624";"97,121624";"97,121624";"97,082254"
"21";"pendigits";"82,595405";"86,962889";"88,646695";"90,356866";"91,767341"
"22";"planning-relax";"71,461986";"68,684209";"70,906431";"72,017542";"71,461986"
"23";"seeds";"33,33333";"81,904762";"80,952382";"81,428573";"83,333335"
"24";"semeion";"37,346332";"49,468609";"53,0649";"56,304041";"60,334939"
"25";"spectf-heart";"72,792715";"71,0859";"71,903361";"71,894023";"74,794117"
"26";"tic-tac-toe";"67,936981";"69,412768";"74,206762";"77,019262";"80,273692"
"27";"twonorm";"76,716117";"79,702864";"81,107631";"80,919079";"81,931901"
"28";"hill-valley-with-noise";"52,811983";"50,430273";"51,166679";"51,238326";"54,300332"
"29";"balance-scale";"60,325772";"65,925101";"64,366464";"70,712775";"69,62521"
"30";"car";"79,510117";"81,313418";"86,293019";"90,102713";"90,916995"
