"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"73,33333";"86,66667";"80";"80";"80"
"2";"bupa";"45,71429";"40";"48,57143";"42,85714";"47,05882"
"3";"segment";"83,98268";"82,68398";"84,41558";"90,04329";"90,90909"
"4";"waveform-5000";"70,05988";"73,8";"73";"77,6";"77,44511"
"5";"phishingData";"87,69231";"89,60217";"90,58824";"91,41049";"93,30922"
"6";"mushroom";"78,94089";"81,42681";"80,17241";"81,42681";"81,42681"
"7";"pima";"62,33766";"62,33766";"62,33766";"62,33766";"67,53247"
"8";"vehicle";"41,17647";"47,05882";"46,34146";"45,34884";"53,65854"
"9";"wilt";"90,49587";"94,21488";"92,96066";"92,14876";"93,60825"
"10";"kr-vs-kp";"75,625";"75,3125";"78,125";"80,9375";"85,57994"
"11";"blood-transfusion-service";"66,21622";"72";"70,66667";"70,66667";"70,27027"
"12";"cnae-9";"37,03704";"53,7037";"53,7037";"59,25926";"65,74074"
"13";"connectionist-mines-vs-rocks";"38,09524";"42,85714";"52,38095";"61,90476";"47,61905"
"14";"flare";"61,31387";"59,42029";"64,02878";"60";"63,57143"
"15";"indian-liver-patient";"63,15789";"59,32203";"57,62712";"63,15789";"56,89655"
"16";"leukemia-haslinger";"60";"70";"60";"70";"70"
"17";"mammographic-mass";"69,79167";"72,91667";"70,83333";"72,91667";"72,91667"
"18";"mfeat-karhunen";"80";"85,5";"90,5";"89,5";"91,5"
"19";"musk";"91,36364";"93,78788";"93,78788";"94,69697";"96,51515"
"20";"ozone-onehr";"94,48819";"96,06299";"95,25692";"96,85039";"96,44269"
"21";"pendigits";"95,35519";"96,9119";"96,81529";"97,17925";"97,99818"
"22";"planning-relax";"33,33333";"52,63158";"55,55556";"38,88889";"66,66667"
"23";"seeds";"71,42857";"85,71429";"80,95238";"80,95238";"85,71429"
"24";"semeion";"67,5";"75";"79,87421";"80,50314";"81,875"
"25";"spectf-heart";"55,55556";"47,05882";"60";"54,28571";"63,88889"
"26";"tic-tac-toe";"67,70833";"77,89474";"82,29167";"87,36842";"84,21053"
"27";"twonorm";"96,35135";"96,35135";"96,89189";"96,75676";"96,62162"
"28";"hill-valley-with-noise";"44,2623";"40,98361";"43,44262";"46,72131";"47,10744"
"29";"balance-scale";"67,74194";"77,41935";"83,87097";"82,25806";"80,64516"
"30";"car";"69,54023";"69,54023";"70,93023";"70,68966";"72,25434"
