"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"53,33333";"73,33333";"60";"66,66667"
"2";"bupa";"26,47059";"47,05882";"51,42857";"41,17647";"54,28571"
"3";"segment";"60,17316";"74,89177";"80,95238";"85,71429";"86,14719"
"4";"waveform-5000";"59,91984";"63,2";"72,6";"72,6";"74"
"5";"phishingData";"90,13575";"90,49774";"90,76923";"91,93841";"91,76471"
"6";"mushroom";"81,30381";"79,9508";"80,3198";"80,3198";"80,3198"
"7";"pima";"59,21053";"50,64935";"65,78947";"64,93506";"66,23377"
"8";"vehicle";"34,11765";"32,53012";"45,88235";"48,23529";"51,76471"
"9";"wilt";"93,18182";"95,65217";"96,27329";"96,4876";"96,69421"
"10";"kr-vs-kp";"86,5625";"92,8125";"94,375";"94,375";"95,625"
"11";"blood-transfusion-service";"74,32432";"62,66667";"68";"70,66667";"73,33333"
"12";"cnae-9";"37,96296";"60,18519";"60,18519";"68,51852";"69,44444"
"13";"connectionist-mines-vs-rocks";"47,61905";"45";"60";"47,61905";"52,38095"
"14";"flare";"51,07914";"50,72464";"52,89855";"59,28571";"60"
"15";"indian-liver-patient";"47,36842";"59,32203";"57,62712";"62,71186";"65,51724"
"16";"leukemia-haslinger";"44,44444";"40";"30";"50";"60"
"17";"mammographic-mass";"69,79167";"76,84211";"76,04167";"78,125";"73,95833"
"18";"mfeat-karhunen";"35,5";"56";"56,5";"67";"70,5"
"19";"musk";"87,27273";"90,60606";"92,57576";"94,09091";"94,69697"
"20";"ozone-onehr";"93,70079";"93,72549";"95,66929";"95,25692";"95,25692"
"21";"pendigits";"76,6151";"85,85675";"87,76065";"90,5196";"90,99181"
"22";"planning-relax";"52,63158";"22,22222";"68,42105";"55,55556";"68,42105"
"23";"seeds";"47,61905";"52,38095";"66,66667";"61,90476";"66,66667"
"24";"semeion";"28,66242";"36,02484";"45,28302";"43,47826";"51,57233"
"25";"spectf-heart";"60";"51,42857";"48,57143";"67,64706";"68,57143"
"26";"tic-tac-toe";"56,84211";"65,625";"66,66667";"83,50515";"74,73684"
"27";"twonorm";"78,94737";"80,64953";"82,56757";"85,25034";"85"
"28";"hill-valley-with-noise";"45,45455";"43,80165";"45,08197";"42,14876";"37,19008"
"29";"balance-scale";"50";"58,06452";"66,66667";"72,58065";"65,07937"
"30";"car";"64,73988";"71,09827";"68,60465";"73,98844";"77,45665"
