"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"66,66667";"73,33333";"73,33333";"80"
"2";"bupa";"47,05882";"42,85714";"40";"38,23529";"45,71429"
"3";"segment";"64,50216";"68,83117";"64,06926";"65,36797";"67,96537"
"4";"waveform-5000";"74,6507";"75,4491";"75,8483";"75,2495";"75,8483"
"5";"phishingData";"91,68174";"91,41049";"91,13924";"91,13924";"91,13924"
"6";"mushroom";"90,51724";"91,51292";"91,62562";"91,62562";"92,12792"
"7";"pima";"58,44156";"67,10526";"59,74026";"58,44156";"61,03896"
"8";"vehicle";"38,09524";"31,76471";"30,58824";"34,52381";"35,29412"
"9";"wilt";"91,32231";"92,14876";"91,94215";"91,94215";"88,22314"
"10";"kr-vs-kp";"63,125";"64,6875";"67,5";"66,5625";"69,0625"
"11";"blood-transfusion-service";"59,45946";"69,33333";"54,05405";"65,33333";"68"
"12";"cnae-9";"11,11111";"12,03704";"11,11111";"17,59259";"12,03704"
"13";"connectionist-mines-vs-rocks";"28,57143";"40";"47,61905";"40";"42,85714"
"14";"flare";"27,33813";"26,61871";"29,41176";"21,58273";"21,58273"
"15";"indian-liver-patient";"38,59649";"42,37288";"42,37288";"42,37288";"45,76271"
"16";"leukemia-haslinger";"40";"72,72727";"77,77778";"80";"70"
"17";"mammographic-mass";"72,91667";"72,63158";"71,57895";"73,95833";"73,95833"
"18";"mfeat-karhunen";"80";"85";"85,5";"85,5";"85"
"19";"musk";"69,69697";"69,49924";"69,39394";"75,15152";"67,07132"
"20";"ozone-onehr";"70,86614";"61,41732";"57,48031";"60,47431";"62,05534"
"21";"pendigits";"76,06915";"75,18182";"76,81818";"78,25296";"76,90909"
"22";"planning-relax";"66,66667";"44,44444";"38,88889";"50";"47,36842"
"23";"seeds";"71,42857";"71,42857";"66,66667";"66,66667";"71,42857"
"24";"semeion";"42,13836";"70,44025";"71,69811";"72,95597";"71,875"
"25";"spectf-heart";"62,85714";"51,42857";"57,14286";"48,57143";"51,42857"
"26";"tic-tac-toe";"63,54167";"55,20833";"60";"58,76289";"65,26316"
"27";"twonorm";"96,89189";"96,75676";"96,89189";"96,89189";"96,75676"
"28";"hill-valley-with-noise";"43,44262";"43,80165";"42,97521";"42,97521";"42,97521"
"29";"balance-scale";"46,03175";"63,49206";"65,07937";"69,84127";"72,58065"
"30";"car";"69,54023";"69,54023";"69,54023";"70,52023";"70,34884"
