"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"66,66667";"73,33333";"73,33333";"80"
"2";"bupa";"52,94118";"50";"55,88235";"50";"45,71429"
"3";"segment";"76,62338";"80,95238";"83,54978";"86,58009";"87,87879"
"4";"waveform-5000";"62,72545";"66,46707";"68,26347";"69,06188";"67,53507"
"5";"phishingData";"89,96383";"91,49321";"91,40271";"91,58371";"90,76923"
"6";"mushroom";"98,89299";"98,89299";"99,38424";"98,89299";"99,50678"
"7";"pima";"58,44156";"64,93506";"64,93506";"64,93506";"61,03896"
"8";"vehicle";"21,17647";"48,23529";"51,19048";"51,80723";"55,29412"
"9";"wilt";"94,6281";"94,6281";"94,6281";"96,90083";"95,86777"
"10";"kr-vs-kp";"91,875";"91,875";"94,375";"94,6875";"94,375"
"11";"blood-transfusion-service";"57,33333";"70,66667";"76";"73,33333";"72"
"12";"cnae-9";"40,74074";"50";"56,48148";"67,59259";"67,59259"
"13";"connectionist-mines-vs-rocks";"47,61905";"45,45455";"50";"33,33333";"50"
"14";"flare";"66,66667";"65";"62,31884";"65,71429";"64,7482"
"15";"indian-liver-patient";"55,9322";"60,34483";"64,40678";"62,06897";"67,24138"
"16";"leukemia-haslinger";"44,44444";"40";"60";"50";"50"
"17";"mammographic-mass";"71,875";"73,95833";"78,125";"72,91667";"68,75"
"18";"mfeat-karhunen";"47,5";"57";"58";"62";"67"
"19";"musk";"95,15152";"97,12121";"98,18182";"98,78788";"98,93939"
"20";"ozone-onehr";"96,85039";"96,85039";"96,85039";"96,85039";"96,85039"
"21";"pendigits";"80,23679";"85,71429";"86,90909";"87,72727";"90,64487"
"22";"planning-relax";"68,42105";"55,55556";"66,66667";"68,42105";"68,42105"
"23";"seeds";"33,33333";"71,42857";"71,42857";"66,66667";"71,42857"
"24";"semeion";"18,86792";"40";"44,7205";"51,5528";"50,9434"
"25";"spectf-heart";"67,64706";"65,71429";"57,14286";"61,76471";"64,70588"
"26";"tic-tac-toe";"60";"63,54167";"67,36842";"64,21053";"72,91667"
"27";"twonorm";"72,87449";"77,02703";"78,37838";"79,59459";"78,48444"
"28";"hill-valley-with-noise";"45";"44,2623";"44,2623";"46,72131";"44,2623"
"29";"balance-scale";"55,55556";"52,38095";"50,79365";"58,73016";"60,31746"
"30";"car";"69,9422";"73,56322";"78,03468";"88,95349";"85,54913"
