"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"62,85714";"65,71429";"61,76471";"70,58824";"68,57143"
"3";"segment";"88,74459";"95,671";"95,2381";"94,80519";"97,8355"
"4";"waveform-5000";"80,23952";"86,2";"84";"82,63473";"84,4"
"5";"phishingData";"92,48869";"92,93478";"93,94213";"94,57505";"95,56561"
"6";"mushroom";"91,87192";"84,87085";"84,87085";"84,87085";"84,87085"
"7";"pima";"71,42857";"71,42857";"75,32468";"76,62338";"74,02597"
"8";"vehicle";"60,71429";"67,44186";"71,42857";"69,76744";"74,4186"
"9";"wilt";"94,6281";"95,04132";"95,45455";"95,46392";"95,24793"
"10";"kr-vs-kp";"85,84906";"86,47799";"87,42138";"90,625";"91,875"
"11";"blood-transfusion-service";"77,33333";"79,72973";"81,08108";"78,66667";"81,33333"
"12";"cnae-9";"61,11111";"68,51852";"72,22222";"71,2963";"77,77778"
"13";"connectionist-mines-vs-rocks";"85,71429";"71,42857";"90,47619";"90,47619";"95,2381"
"14";"flare";"72,85714";"73,38129";"72,66187";"74,82014";"74,10072"
"15";"indian-liver-patient";"74,13793";"71,92982";"79,31034";"72,41379";"75,4386"
"16";"leukemia-haslinger";"100";"100";"100";"100";"100"
"17";"mammographic-mass";"82,10526";"82,10526";"81,4433";"83,50515";"83,50515"
"18";"mfeat-karhunen";"91";"93,5";"94";"96";"96,5"
"19";"musk";"93,93939";"97,42814";"97,27273";"97,57943";"98,0303"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,6378"
"21";"pendigits";"97,08826";"98,72843";"99,27207";"99,09173";"99,63603"
"22";"planning-relax";"72,22222";"77,77778";"72,22222";"77,77778";"72,22222"
"23";"seeds";"100";"100";"100";"100";"100"
"24";"semeion";"81,25";"85,44304";"89,93711";"88,05031";"89,30818"
"25";"spectf-heart";"77,14286";"76,47059";"76,47059";"82,35294";"88,23529"
"26";"tic-tac-toe";"75";"88,54167";"90,52632";"93,75";"95,83333"
"27";"twonorm";"98,24324";"98,37838";"98,24324";"98,51351";"98,24324"
"28";"hill-valley-with-noise";"55,7377";"64,7541";"56,55738";"59,16667";"57,37705"
"29";"balance-scale";"90,47619";"88,88889";"87,30159";"90,47619";"92,06349"
"30";"car";"77,32558";"78,48837";"76,87861";"77,32558";"79,19075"
