"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"80";"93,33333";"93,33333";"100";"100"
"2";"bupa";"58,82353";"67,64706";"71,42857";"68,57143";"71,42857"
"3";"segment";"83,54978";"89,61039";"90,04329";"93,50649";"93,93939"
"4";"waveform-5000";"72,54509";"74,7495";"77,64471";"79,64072";"81,23752"
"5";"phishingData";"92,0434";"93,85172";"93,58047";"94,47964";"93,94213"
"6";"mushroom";"95,5665";"86,83887";"85,22167";"85,23985";"84,25584"
"7";"pima";"79,22078";"83,11688";"80,26316";"79,22078";"83,11688"
"8";"vehicle";"55,29412";"64,70588";"64,70588";"67,05882";"75,29412"
"9";"wilt";"97,1134";"97,93814";"98,34369";"98,34711";"98,14433"
"10";"kr-vs-kp";"96,55172";"97,17868";"97,5";"98,4326";"99,375"
"11";"blood-transfusion-service";"80";"77,33333";"79,72973";"84";"82,66667"
"12";"cnae-9";"64,81481";"69,44444";"77,77778";"85,18519";"85,18519"
"13";"connectionist-mines-vs-rocks";"80,95238";"76,19048";"76,19048";"90,47619";"90,47619"
"14";"flare";"76,97842";"77,69784";"75,53957";"73,38129";"82,01439"
"15";"indian-liver-patient";"71,92982";"79,66102";"72,88136";"79,66102";"72,41379"
"16";"leukemia-haslinger";"50";"80";"90";"90";"90"
"17";"mammographic-mass";"86,45833";"89,58333";"87,5";"86,45833";"89,58333"
"18";"mfeat-karhunen";"53,5";"69";"72";"75,5";"76"
"19";"musk";"94,55371";"95,75758";"96,66161";"97,72727";"98,93939"
"20";"ozone-onehr";"97,24409";"97,2332";"97,2332";"97,2332";"97,62846"
"21";"pendigits";"82,71156";"89,3733";"90,9589";"92,55223";"94,1871"
"22";"planning-relax";"72,22222";"72,22222";"72,22222";"72,22222";"77,77778"
"23";"seeds";"100";"100";"95,2381";"90,47619";"100"
"24";"semeion";"41,13924";"55,34591";"57,2327";"63,125";"69,18239"
"25";"spectf-heart";"75";"76,47059";"76,47059";"85,71429";"91,42857"
"26";"tic-tac-toe";"75";"80,20833";"93,75";"94,84536";"100"
"27";"twonorm";"81,78138";"86,77463";"88,25911";"89,59459";"90,0135"
"28";"hill-valley-with-noise";"56,55738";"55";"54,91803";"57,85124";"55,3719"
"29";"balance-scale";"80,64516";"80,64516";"84,12698";"85,71429";"84,12698"
"30";"car";"74,4186";"78,48837";"77,32558";"80,92486";"84,9711"
