"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"100";"100";"100";"100";"100"
"2";"bupa";"62,85714";"60";"60";"64,70588";"64,70588"
"3";"segment";"77,92208";"80,08658";"77,92208";"77,05628";"78,35498"
"4";"waveform-5000";"79,95992";"79,4";"79,35872";"79,55912";"80"
"5";"phishingData";"93,75566";"93,66516";"93,75566";"93,85172";"93,94213"
"6";"mushroom";"93,60394";"93,47291";"94,09594";"94,34194";"94,83395"
"7";"pima";"81,81818";"79,22078";"80,51948";"80,51948";"81,81818"
"8";"vehicle";"45,2381";"43,37349";"47,05882";"46,42857";"48,80952"
"9";"wilt";"93,99586";"96,4876";"95,45455";"93,78882";"93,78882"
"10";"kr-vs-kp";"78,125";"74,29467";"78,99687";"76,875";"78,125"
"11";"blood-transfusion-service";"73,33333";"80";"77,33333";"78,37838";"80"
"12";"cnae-9";"28,7037";"48,14815";"36,11111";"34,25926";"31,48148"
"13";"connectionist-mines-vs-rocks";"80";"70";"75";"76,19048";"76,19048"
"14";"flare";"52,48227";"52,17391";"63,12057";"48,92086";"48,55072"
"15";"indian-liver-patient";"59,64912";"58,62069";"60,34483";"63,7931";"60,34483"
"16";"leukemia-haslinger";"90,90909";"100";"100";"100";"100"
"17";"mammographic-mass";"84,21053";"84,53608";"84,21053";"85,56701";"87,36842"
"18";"mfeat-karhunen";"92";"92";"93,5";"93,5";"93"
"19";"musk";"83,33333";"83,76328";"84,54545";"83,00455";"83,1563"
"20";"ozone-onehr";"89,72332";"73,12253";"74,3083";"70,58824";"70,86614"
"21";"pendigits";"85,05014";"86,07825";"86,05287";"85,50593";"85,44131"
"22";"planning-relax";"73,68421";"72,22222";"77,77778";"68,42105";"72,22222"
"23";"seeds";"95,2381";"95,2381";"100";"95,2381";"95,2381"
"24";"semeion";"67,90123";"77,8481";"80";"82,71605";"83,6478"
"25";"spectf-heart";"85,71429";"80";"80";"77,14286";"77,14286"
"26";"tic-tac-toe";"71,57895";"75";"74,2268";"77,08333";"76,04167"
"27";"twonorm";"98,5115";"98,5115";"98,37618";"98,5115";"98,5115"
"28";"hill-valley-with-noise";"56,19835";"53,71901";"53,71901";"57,85124";"57,02479"
"29";"balance-scale";"80,64516";"87,30159";"84,12698";"87,30159";"87,30159"
"30";"car";"82,08092";"71,09827";"72,09302";"72,83237";"76,74419"
