"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"100";"100";"100";"100"
"2";"bupa";"70,58824";"71,42857";"65,71429";"71,42857";"77,14286"
"3";"segment";"91,34199";"91,77489";"93,93939";"96,1039";"93,93939"
"4";"waveform-5000";"74,10359";"76";"76,2475";"76,6";"78,4"
"5";"phishingData";"93,57466";"93,21267";"94,93213";"94,66063";"95,02712"
"6";"mushroom";"99,877";"100";"100";"100";"100"
"7";"pima";"81,81818";"83,11688";"88,31169";"79,22078";"75"
"8";"vehicle";"57,14286";"65,47619";"71,42857";"76,19048";"71,42857"
"9";"wilt";"97,10744";"98,55372";"97,93388";"98,14433";"98,55372"
"10";"kr-vs-kp";"95";"97,1875";"99,0566";"98,11912";"98,74214"
"11";"blood-transfusion-service";"77,02703";"77,02703";"78,66667";"77,02703";"78,66667"
"12";"cnae-9";"71,2963";"75";"77,77778";"83,33333";"83,33333"
"13";"connectionist-mines-vs-rocks";"66,66667";"85";"90";"75";"90"
"14";"flare";"78,98551";"78,26087";"76,08696";"76,08696";"77,53623"
"15";"indian-liver-patient";"72,41379";"75,86207";"74,57627";"72,41379";"72,41379"
"16";"leukemia-haslinger";"50";"90";"100";"81,81818";"90"
"17";"mammographic-mass";"86,31579";"86,31579";"87,36842";"88,54167";"86,31579"
"18";"mfeat-karhunen";"62";"70";"72,5";"74";"79"
"19";"musk";"98,48485";"99,84871";"99,69697";"99,84848";"100"
"20";"ozone-onehr";"97,24409";"97,24409";"97,24409";"97,24409";"97,24409"
"21";"pendigits";"86,88525";"88,70674";"91,19782";"91,99272";"94,08553"
"22";"planning-relax";"72,22222";"72,22222";"73,68421";"72,22222";"72,22222"
"23";"seeds";"33,33333";"90,47619";"85,71429";"100";"100"
"24";"semeion";"47,5";"57,59494";"63,125";"62,5";"68,75"
"25";"spectf-heart";"74,28571";"74,28571";"76,47059";"74,28571";"85,71429"
"26";"tic-tac-toe";"71,57895";"76,04167";"85,26316";"87,36842";"89,58333"
"27";"twonorm";"79,21727";"80,94595";"83,10811";"83,78378";"84,18919"
"28";"hill-valley-with-noise";"57,02479";"59,83607";"58,67769";"60,33058";"61,15702"
"29";"balance-scale";"71,42857";"79,03226";"76,19048";"82,25806";"77,77778"
"30";"car";"86,7052";"89,59538";"91,86047";"94,79769";"94,76744"
