"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"91,333334";"93,333333";"93,999999";"93,333334";"94,666665"
"2";"bupa";"52,109245";"54,798321";"53,352941";"55,126051";"58,546218"
"3";"segment";"85,281387";"90,692641";"92,077921";"92,72727";"93,722943"
"4";"waveform-5000";"77,659085";"79,180244";"81,239008";"80,580168";"80,960128"
"5";"phishingData";"90,818611";"91,723295";"92,609501";"93,785382";"94,229026"
"6";"mushroom";"85,0826";"82,791502";"83,197815";"83,308638";"83,259362"
"7";"pima";"66,672931";"65,623717";"69,53862";"70,434039";"69,530074"
"8";"vehicle";"50,484748";"54,58627";"56,637036";"61,093504";"62,136783"
"9";"wilt";"94,006549";"94,461608";"94,502889";"94,357961";"94,60645"
"10";"kr-vs-kp";"79,103127";"82,448935";"84,481166";"87,045626";"88,923866"
"11";"blood-transfusion-service";"75,405405";"75,007208";"76,077477";"75,122523";"76,616216"
"12";"cnae-9";"46,018521";"58,703703";"65,092592";"63,425925";"66,759257"
"13";"connectionist-mines-vs-rocks";"61,023809";"61,095238";"72,190477";"74,976192";"77,452383"
"14";"flare";"65,79012";"69,76329";"68,899803";"69,917542";"70,905545"
"15";"indian-liver-patient";"68,446225";"70,503914";"70,851661";"68,636582";"71,541522"
"16";"leukemia-haslinger";"78,80808";"85,141414";"82,141414";"87,050505";"86,050505"
"17";"mammographic-mass";"75,664564";"78,048585";"76,676897";"80,330631";"79,185759"
"18";"mfeat-karhunen";"86,1";"89,45";"92,2";"91,6";"93,3"
"19";"musk";"92,724855";"95,270748";"95,953646";"96,771715";"97,104909"
"20";"ozone-onehr";"96,726368";"96,845723";"96,765893";"97,003358";"96,84479"
"21";"pendigits";"96,306496";"97,907814";"98,198874";"98,580849";"98,835534"
"22";"planning-relax";"67,017543";"70,467835";"68,157894";"68,771929";"70,906431"
"23";"seeds";"87,619049";"91,428573";"91,904764";"90,952384";"93,333336"
"24";"semeion";"75,391734";"81,865661";"83,750923";"85,435767";"86,440077"
"25";"spectf-heart";"62,703548";"68,478525";"66,215221";"72,504668";"75,10084"
"26";"tic-tac-toe";"69,205044";"81,944079";"86,539473";"88,30592";"87,889254"
"27";"twonorm";"97,391926";"97,594667";"97,554016";"97,47297";"97,472988"
"28";"hill-valley-with-noise";"49,92011";"52,130458";"50,249302";"49,356581";"48,920801"
"29";"balance-scale";"80,967154";"82,720614";"84,622565";"86,053695";"88,140483"
"30";"car";"73,959363";"74,249702";"73,842064";"74,828437";"76,211709"
