"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"46,666665";"74,666668";"85,333333";"88,666666";"86"
"2";"bupa";"54,462185";"59,092438";"61,134454";"60,268906";"63,705884"
"3";"segment";"74,848484";"84,545455";"86,190477";"89,653678";"90,38961"
"4";"waveform-5000";"69,080014";"71,9207";"75,379044";"76,760486";"77,42185"
"5";"phishingData";"90,954537";"92,464754";"92,220573";"93,188604";"93,025806"
"6";"mushroom";"85,475475";"83,087023";"82,594728";"82,20073";"81,880927"
"7";"pima";"70,177717";"72,129186";"73,053658";"72,378676";"71,613123"
"8";"vehicle";"46,687489";"55,179222";"58,17686";"59,225845";"64,050707"
"9";"wilt";"95,928637";"96,631546";"97,086005";"97,251379";"97,334026"
"10";"kr-vs-kp";"93,178373";"94,118523";"95,65046";"96,651539";"96,651933"
"11";"blood-transfusion-service";"74,863064";"75,403604";"75,273876";"75,664864";"75,938739"
"12";"cnae-9";"47,129628";"61,481481";"68,425926";"75,925926";"74,722223"
"13";"connectionist-mines-vs-rocks";"60,500001";"66,833334";"69,714287";"64,92857";"64,333334"
"14";"flare";"65,441365";"67,882686";"68,753743";"68,192138";"69,988584"
"15";"indian-liver-patient";"67,926472";"65,83341";"66,558851";"67,385546";"68,279758"
"16";"leukemia-haslinger";"48,989899";"59,010101";"62,010101";"64,414142";"70,80808"
"17";"mammographic-mass";"77,422872";"81,486604";"82,630336";"81,702524";"82,523952"
"18";"mfeat-karhunen";"47,5";"59,9";"63,55";"69,75";"70,45"
"19";"musk";"89,662872";"92,846572";"95,529129";"95,680553";"97,059523"
"20";"ozone-onehr";"96,884617";"96,411399";"95,428849";"96,452166";"96,609956"
"21";"pendigits";"80,258918";"86,526793";"89,720855";"91,130082";"92,45855"
"22";"planning-relax";"67,573097";"69,239765";"70,350875";"70,906431";"67,017543"
"23";"seeds";"77,142858";"83,809526";"83,809526";"79,52381";"87,619048"
"24";"semeion";"34,60048";"44,63665";"48,093807";"56,251717";"57,193167"
"25";"spectf-heart";"69,023809";"72,503734";"69,963587";"72,5028";"75,661065"
"26";"tic-tac-toe";"65,87778";"69,831886";"75,884948";"87,478512";"94,246552"
"27";"twonorm";"80,891378";"85,243228";"86,08112";"87,431816";"88,769984"
"28";"hill-valley-with-noise";"50,564942";"51,325113";"52,469912";"51,481505";"49,919409"
"29";"balance-scale";"65,93253";"73,769862";"72,47954";"76,153459";"77,602594"
"30";"car";"69,800253";"74,314698";"72,747994";"76,96737";"77,086622"
