"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"83,333333";"91,333333";"94,666665";"94,666665";"94,666666"
"2";"bupa";"53,941177";"50,445378";"50,428572";"51,621848";"52,462184"
"3";"segment";"73,333333";"73,939395";"74,199134";"73,116881";"73,506493"
"4";"waveform-5000";"77,582127";"77,020765";"77,660448";"77,780729";"77,761207"
"5";"phishingData";"92,86331";"92,763778";"92,827112";"92,818062";"92,836055"
"6";"mushroom";"92,208341";"92,171305";"92,466673";"92,55285";"92,786645"
"7";"pima";"69,895762";"69,644567";"70,164045";"70,165756";"70,681818"
"8";"vehicle";"40,789304";"38,191398";"39,100025";"41,856763";"36,635105"
"9";"wilt";"90,164129";"93,366522";"93,614286";"92,540121";"92,994666"
"10";"kr-vs-kp";"70,681329";"70,964831";"70,870299";"73,278605";"74,467476"
"11";"blood-transfusion-service";"66,68108";"71,789189";"71,917117";"73,138739";"73,257658"
"12";"cnae-9";"17,499999";"22,777776";"25,092592";"23,333334";"20,740741"
"13";"connectionist-mines-vs-rocks";"59,266235";"56,837663";"61,17316";"60,647186";"60,64935"
"14";"flare";"42,596774";"39,246813";"47,785291";"37,953616";"40,325781"
"15";"indian-liver-patient";"52,329611";"51,107591";"52,471983";"52,332432";"53,171019"
"16";"leukemia-haslinger";"66,757576";"84,090909";"80,272727";"85,090909";"85,090909"
"17";"mammographic-mass";"78,271398";"77,016922";"78,052236";"78,77713";"78,688132"
"18";"mfeat-karhunen";"86";"89,85";"90,65";"90,55";"91"
"19";"musk";"75,23501";"76,964282";"78,796442";"78,82746";"78,887861"
"20";"ozone-onehr";"81,861552";"67,865653";"66,169329";"66,244658";"66,246046"
"21";"pendigits";"81,396855";"80,667503";"82,979435";"82,269533";"82,978548"
"22";"planning-relax";"67,543858";"62,076023";"64,853802";"60,964913";"57,134504"
"23";"seeds";"81,428573";"87,619049";"90,000001";"88,09524";"89,047621"
"24";"semeion";"62,312758";"72,01514";"74,212159";"77,072093";"76,52014"
"25";"spectf-heart";"76,549954";"70,0014";"68,253502";"66,807657";"67,370682"
"26";"tic-tac-toe";"64,511484";"66,193479";"68,245557";"67,003006";"66,580904"
"27";"twonorm";"97,810754";"97,824284";"97,770231";"97,810772";"97,81079"
"28";"hill-valley-with-noise";"50,582554";"49,502732";"49,340164";"51,150217";"50,000644"
"29";"balance-scale";"66,30203";"76,296745";"76,033465";"76,156355";"80,313894"
"30";"car";"75,287812";"70,429896";"70,605339";"71,529874";"71,934842"
