"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"87,333334";"92,666666";"96,666665";"94"
"2";"bupa";"56,218489";"59,991597";"57,64706";"58,235295";"62,882354"
"3";"segment";"85,454545";"87,748918";"90,51948";"90,909091";"91,64502"
"4";"waveform-5000";"69,197148";"72,057712";"72,818592";"72,83887";"74,938003"
"5";"phishingData";"91,488";"91,886158";"92,38365";"93,134567";"93,478098"
"6";"mushroom";"99,187312";"99,483018";"99,67994";"99,827662";"99,75368"
"7";"pima";"66,264522";"69,66507";"73,304854";"70,847574";"70,842446"
"8";"vehicle";"48,454042";"57,310077";"61,247019";"64,681292";"63,463161"
"9";"wilt";"95,701834";"96,197659";"96,568833";"97,250866";"97,065386"
"10";"kr-vs-kp";"92,77291";"94,651344";"96,028113";"96,808967";"97,309852"
"11";"blood-transfusion-service";"75,138739";"75,672073";"73,805407";"75,805406";"75,405406"
"12";"cnae-9";"56,574075";"66,574075";"71,574074";"72,87037";"76,203703"
"13";"connectionist-mines-vs-rocks";"58,145022";"68,229438";"70,718615";"58,781385";"69,474028"
"14";"flare";"72,136789";"72,935945";"72,212351";"71,711316";"72,713386"
"15";"indian-liver-patient";"71,186442";"72,045588";"70,50263";"70,508475";"69,468147"
"16";"leukemia-haslinger";"48,989899";"65,141414";"68,333333";"61,737374";"72,050505"
"17";"mammographic-mass";"81,900095";"81,379216";"81,367313";"81,692836";"81,999965"
"18";"mfeat-karhunen";"55,65";"63,45";"66,5";"69,8";"74,25"
"19";"musk";"96,437737";"98,211109";"98,726718";"99,090424";"99,484433"
"20";"ozone-onehr";"97,121624";"97,121624";"97,121624";"97,121624";"97,121624"
"21";"pendigits";"83,406721";"86,917264";"90,110749";"90,620461";"91,876266"
"22";"planning-relax";"71,461986";"70,350875";"71,988302";"71,461986";"71,461986"
"23";"seeds";"33,33333";"84,761906";"80,952382";"87,142858";"85,238097"
"24";"semeion";"42,434619";"51,481581";"55,296469";"59,696287";"60,747711"
"25";"spectf-heart";"70,211484";"71,061624";"72,809056";"71,926702";"76,49253"
"26";"tic-tac-toe";"64,934539";"65,864453";"72,77219";"80,495071";"82,046719"
"27";"twonorm";"76,716327";"78,878639";"80,37809";"80,567607";"81,000551"
"28";"hill-valley-with-noise";"50,50132";"52,119497";"49,588121";"53,616594";"54,284515"
"29";"balance-scale";"60,944993";"68,14682";"70,405473";"71,670024";"73,441994"
"30";"car";"79,796511";"82,984782";"87,50171";"89,64684";"90,741126"
