"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"80";"86,66667";"80";"80";"80"
"2";"bupa";"35,29412";"44,11765";"45,71429";"41,17647";"42,85714"
"3";"segment";"78,78788";"87,44589";"89,17749";"90,90909";"90,04329"
"4";"waveform-5000";"74,1483";"76,84631";"77,35471";"78,2";"78,8"
"5";"phishingData";"87,33032";"90,14467";"91,77215";"92,48188";"92,67631"
"6";"mushroom";"79,5818";"80,29557";"81,99753";"82,24414";"82,24414"
"7";"pima";"61,03896";"53,24675";"63,63636";"62,33766";"63,63636"
"8";"vehicle";"30,95238";"44,04762";"43,37349";"54,7619";"49,39759"
"9";"wilt";"91,09731";"93,80165";"93,18182";"92,7686";"94,00826"
"10";"kr-vs-kp";"75";"75,625";"80";"84,375";"84,6395"
"11";"blood-transfusion-service";"72";"64";"68";"64,86486";"72"
"12";"cnae-9";"29,62963";"45,37037";"56,48148";"58,33333";"56,48148"
"13";"connectionist-mines-vs-rocks";"42,85714";"38,09524";"57,14286";"55";"57,14286"
"14";"flare";"59,71223";"67,14286";"63,57143";"64,28571";"67,88321"
"15";"indian-liver-patient";"63,7931";"67,79661";"66,10169";"55,9322";"66,10169"
"16";"leukemia-haslinger";"44,44444";"63,63636";"60";"70";"70"
"17";"mammographic-mass";"68,75";"69,79167";"70,52632";"76,04167";"76,04167"
"18";"mfeat-karhunen";"82";"86,5";"91";"85,5";"88"
"19";"musk";"91,06061";"93,0303";"93,78788";"95,90909";"94,23369"
"20";"ozone-onehr";"95,25692";"96,44269";"95,25692";"96,06299";"95,25692"
"21";"pendigits";"95,72338";"96,73025";"97,00272";"98,00182";"98,00182"
"22";"planning-relax";"55,55556";"47,36842";"61,11111";"52,63158";"66,66667"
"23";"seeds";"76,19048";"80,95238";"80,95238";"85,71429";"85,71429"
"24";"semeion";"70,625";"78,26087";"76,39752";"81,25";"80"
"25";"spectf-heart";"44,11765";"48,57143";"55,55556";"60";"65,71429"
"26";"tic-tac-toe";"64,21053";"77,08333";"82,29167";"83,33333";"82,29167"
"27";"twonorm";"96,75676";"97,02703";"97,02703";"96,62162";"96,89189"
"28";"hill-valley-with-noise";"45,90164";"45";"38,52459";"40,49587";"45"
"29";"balance-scale";"72,58065";"77,77778";"78,68852";"78,68852";"83,60656"
"30";"car";"70,34884";"70,52023";"71,09827";"72,25434";"72,09302"
