"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"33,33333";"46,66667";"66,66667";"73,33333";"73,33333"
"2";"bupa";"41,17647";"47,05882";"47,05882";"54,28571";"50"
"3";"segment";"61,90476";"77,05628";"83,11688";"83,11688";"87,01299"
"4";"waveform-5000";"65,33066";"68,32669";"71,54309";"74,2515";"74,10359"
"5";"phishingData";"88,96926";"91,59132";"90,94203";"92,40506";"90,95841"
"6";"mushroom";"82,0197";"80,91133";"80,91133";"79,8278";"79,8278"
"7";"pima";"45,45455";"64,93506";"66,23377";"61,84211";"64,93506"
"8";"vehicle";"40";"44,04762";"50,58824";"51,76471";"54,11765"
"9";"wilt";"94,6281";"95,45455";"95,85921";"96,28099";"96,07438"
"10";"kr-vs-kp";"90,3125";"93,125";"94,375";"95,29781";"94,35737"
"11";"blood-transfusion-service";"69,33333";"68";"66,66667";"70,27027";"72"
"12";"cnae-9";"37,96296";"51,85185";"61,11111";"67,59259";"67,59259"
"13";"connectionist-mines-vs-rocks";"47,61905";"52,38095";"61,90476";"52,38095";"47,61905"
"14";"flare";"55,39568";"54,67626";"64,7482";"59,71223";"61,70213"
"15";"indian-liver-patient";"58,62069";"51,72414";"57,62712";"51,72414";"62,71186"
"16";"leukemia-haslinger";"44,44444";"40";"20";"36,36364";"44,44444"
"17";"mammographic-mass";"65,625";"73,95833";"74,2268";"71,13402";"78,125"
"18";"mfeat-karhunen";"38,5";"53";"59,5";"63,5";"66"
"19";"musk";"85,75758";"90,46899";"94,69697";"94,84067";"96,20637"
"20";"ozone-onehr";"94,86166";"94,86166";"89,76378";"95,27559";"95,27559"
"21";"pendigits";"76,81818";"83,89445";"87,46594";"89,43534";"91,17379"
"22";"planning-relax";"44,44444";"61,11111";"61,11111";"66,66667";"50"
"23";"seeds";"57,14286";"57,14286";"71,42857";"61,90476";"71,42857"
"24";"semeion";"23,125";"30,18868";"39,375";"42,85714";"42,23602"
"25";"spectf-heart";"58,82353";"68,57143";"65,71429";"58,82353";"64,70588"
"26";"tic-tac-toe";"57,29167";"60";"62,10526";"75,25773";"83,15789"
"27";"twonorm";"77,80785";"83,22057";"82,83784";"84,03248";"87,28011"
"28";"hill-valley-with-noise";"42,97521";"46,72131";"47,5";"48,33333";"42,97521"
"29";"balance-scale";"55,55556";"63,49206";"64,51613";"65,07937";"69,84127"
"30";"car";"63,7931";"64,94253";"64,16185";"72,25434";"72,41379"
