"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"iris";"66,66667";"73,33333";"86,66667";"86,66667";"86,66667"
"2";"bupa";"34,28571";"40";"42,85714";"41,17647";"41,17647"
"3";"segment";"69,26407";"67,09957";"68,39827";"68,39827";"68,83117"
"4";"waveform-5000";"75,6487";"74,8503";"75,9519";"76,2475";"75,8483"
"5";"phishingData";"91,77215";"91,41049";"91,68174";"91,86257";"91,95298"
"6";"mushroom";"90,0369";"90,27094";"89,77833";"90,4059";"90,77491"
"7";"pima";"59,21053";"59,74026";"61,84211";"58,44156";"60,52632"
"8";"vehicle";"36,47059";"34,11765";"28,57143";"37,64706";"29,7619"
"9";"wilt";"63,42975";"91,73554";"92,7686";"88,01653";"91,52893"
"10";"kr-vs-kp";"65,625";"65,9375";"67,08464";"68,33856";"71,25"
"11";"blood-transfusion-service";"47,2973";"61,33333";"66,21622";"68";"66,21622"
"12";"cnae-9";"11,11111";"11,11111";"12,96296";"15,74074";"12,03704"
"13";"connectionist-mines-vs-rocks";"47,61905";"42,85714";"42,85714";"42,85714";"42,85714"
"14";"flare";"30,21583";"27,85714";"29,4964";"28,26087";"26,08696"
"15";"indian-liver-patient";"44,82759";"44,82759";"44,82759";"43,10345";"44,82759"
"16";"leukemia-haslinger";"40";"70";"60";"70";"60"
"17";"mammographic-mass";"68,75";"67,01031";"68,04124";"71,875";"68,04124"
"18";"mfeat-karhunen";"79,5";"86";"87,5";"86,5";"87,5"
"19";"musk";"64,79514";"69,54545";"74,13011";"72,12121";"74,84848"
"20";"ozone-onehr";"74,70356";"62,84585";"58,66142";"60,23622";"62,59843"
"21";"pendigits";"76,09091";"76,36364";"77,27273";"78,52593";"79,16288"
"22";"planning-relax";"44,44444";"50";"55,55556";"44,44444";"38,88889"
"23";"seeds";"66,66667";"76,19048";"85,71429";"80,95238";"85,71429"
"24";"semeion";"51,57233";"65";"66,875";"71,51899";"69,375"
"25";"spectf-heart";"68,57143";"58,33333";"58,33333";"55,55556";"55,55556"
"26";"tic-tac-toe";"55,78947";"55,78947";"58,94737";"54,73684";"56,84211"
"27";"twonorm";"96,62162";"96,89189";"96,75676";"96,88769";"96,75676"
"28";"hill-valley-with-noise";"45,08197";"43,80165";"41,32231";"47,10744";"45,08197"
"29";"balance-scale";"52,38095";"67,74194";"69,84127";"66,12903";"76,19048"
"30";"car";"71,51163";"69,54023";"69,54023";"69,9422";"69,9422"
